Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944
143.107765,8,16,2,0,0,0,0,0,CHO,Lipid,144.11504146688,-0.0812481467747854,1,0,0,4799377,6999521,9885843,30727686,0,0,0,0,0,0,0,0,0,0
144.11112,7,16,2,0,1,0,0,0,CHO,Lipid,145.11839646688,-0.0818041013256366,0,0,0,0,0,0,5050901,0,0,0,0,0,0,0,0,0,0
145.05064,6,10,4,0,0,0,0,0,CHO,AminoSugar,146.05791646688,-0.0524276955927448,1,0,0,0,0,3411637,0,0,0,0,0,0,0,0,0,0,0
147.029905,5,8,5,0,0,0,0,0,CHO,Carb,148.03718146688,-0.054713146427183,1,0,0,8127214,0,6938351,0,0,0,0,0,0,0,3059009,0,2413638,0
147.04515,9,8,2,0,0,0,0,0,CHO,Lignin,148.05242646688,0.0204935513129215,1,0,0,0,0,0,0,0,0,0,0,2419580,0,2956354,0,0,0
147.066295,6,12,4,0,0,0,0,0,CHO,AminoSugar,148.07357146688,-0.085047452384897,1,0,0,6303471,0,7668464,0,0,0,0,0,0,0,0,0,0,0
149.00773,0,0,0,0,0,0,0,0,,None,150.01500646688,0,0,0,0,3014976,0,0,0,0,0,0,0,0,0,0,0,0,0
149.008503775,0,0,0,0,0,0,0,0,,None,150.01578024188,0,0,3711383,0,15202111,0,10841920,0,0,0,0,0,0,0,0,0,7898001,0
149.009163471429,0,0,0,0,0,0,0,0,,None,150.016439938309,0,0,48836248,0,196958016,11371656,137672512,0,0,0,0,0,12990412,0,7292566,0,92393872,0
149.024416,8,6,3,0,0,0,0,0,CHO,ConHC,150.03169246688,0.0106112246840714,1,0,0,0,0,2712641,0,0,0,0,0,4559053,2551861,6656663,2611446,0,0
149.045555,5,10,5,0,0,0,0,0,CHO,Carb,150.05283146688,-0.0535503388962961,1,0,0,4479809,4077194,6747970,4939946,0,0,0,0,0,0,0,0,0,0
149.06081,9,10,2,0,0,0,0,0,CHO,Lignin,150.06808646688,-0.0459903247014005,1,0,0,0,0,2762307,0,0,0,0,0,0,2551479,3362713,0,0,0
149.50995,0,0,0,0,0,0,0,0,,None,150.51722646688,0,0,0,0,0,0,0,0,2452523,0,0,0,0,0,0,0,0,0
149.99564,0,0,0,0,0,0,0,0,,None,151.00291646688,0,0,0,0,0,0,0,0,5323716,0,2628459,0,0,0,0,0,0,0
149.99649,0,0,0,0,0,0,0,0,,None,151.00376646688,0,0,0,0,0,0,0,0,2628291,0,0,0,0,0,0,0,0,0
150.012519275,0,0,0,0,0,0,0,0,,None,151.01979574188,0,0,2373949,0,10372979,0,6496115,0,0,0,0,0,0,0,0,0,3385280,0
150.03225,0,0,0,0,0,0,0,0,,None,151.03952646688,0,0,0,0,0,0,0,0,0,0,0,0,2814720,0,3688653,0,0,0
150.499548,0,0,0,0,0,0,0,0,,None,151.50682446688,0,0,0,0,0,0,0,0,29683166,3105786,13339782,6924988,0,0,0,0,3763929,0
150.500285,0,0,0,0,0,0,0,0,,None,151.50756146688,0,0,0,0,0,0,0,0,5610975,0,6072455,3138236,0,0,0,0,3872985,0
150.50039,0,0,0,0,0,0,0,0,,None,151.50766646688,0,0,0,0,0,0,0,0,12522975,0,0,0,0,0,0,0,0,0
150.50126,0,0,0,0,0,0,0,0,,None,151.50853646688,0,0,0,0,0,0,0,0,3778783,0,0,0,0,0,0,0,0,0
151.00126,0,0,0,0,0,0,0,0,,None,152.00853646688,0,0,0,0,0,0,0,0,4194300,0,0,0,0,0,0,0,0,0
151.0037,7,4,4,0,0,0,0,0,CHO,ConHC,152.01097646688,-0.117426257156458,1,0,0,3159468,0,0,0,0,0,0,0,0,0,0,0,0,0
151.01341,0,0,0,0,0,0,0,0,,None,152.02068646688,0,0,0,0,3528621,0,0,0,0,0,0,0,0,0,0,0,0,0
151.0400725,8,8,3,0,0,0,0,0,CHO,Lignin,152.04734896688,-0.0318570498541344,1,0,0,8243119,8024819,12022702,9945870,0,0,0,0,15581241,10408350,21529866,10769506,0,0
151.07646,9,12,2,0,0,0,0,0,CHO,Lignin,152.08373646688,-0.0449586533411634,1,0,0,0,0,0,0,0,0,0,0,0,0,2630924,0,0,0
152.0115075,0,0,0,0,0,0,0,0,,None,153.01878396688,0,0,0,0,3014126,0,4216813,3049289,0,0,0,0,2447479,0,0,0,0,0
153.019334444444,7,6,4,0,0,0,0,0,CHO,Lignin,154.026610911324,-0.0144801240999357,1,0,2349519,10077238,4323702,13277237,6546828,0,0,0,0,15691966,7700001,19373462,7200488,0,0
153.05572125,8,10,3,0,0,0,0,0,CHO,Lignin,154.06299771688,-0.0229099787180966,1,0,0,8887353,3093625,5824568,5009807,0,0,0,0,5380289,4997668,8393625,4508395,0,0
154.027163333333,0,0,0,0,0,0,0,0,,None,155.034439800213,0,0,0,0,0,0,0,0,0,0,0,0,2825229,2807406,4277482,0,0,0
155.03498375,7,8,4,0,0,0,0,0,CHO,Lignin,156.04226021688,-0.00943129109776636,1,0,2517333,0,2754072,3441373,2395944,0,0,0,0,4301668,6008514,9151045,4077198,0,0
156.04279,0,0,0,0,0,0,0,0,,None,157.05006646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3867305,0,0,0
156.066615,0,0,0,0,0,0,0,0,,None,157.07389146688,0,1,0,0,4559170,0,3491135,0,0,0,0,0,0,0,0,0,0,0
156.4996,0,0,0,0,0,0,0,0,,None,157.50687646688,0,0,0,0,0,0,0,0,4540334,0,0,0,0,0,0,0,0,0
156.55413,0,0,0,0,0,0,0,0,,None,157.56140646688,0,0,0,0,0,0,0,0,0,2436569,0,0,0,0,0,0,0,0
157.0035,0,0,0,0,0,0,0,0,,None,158.01077646688,0,0,0,0,0,0,0,0,2797793,0,0,0,0,0,0,0,0,0
157.01425,6,6,5,0,0,0,0,0,CHO,Tannin,158.02152646688,-0.020021196342616,1,0,0,4042148,0,3977633,0,0,0,0,0,3181605,0,4476690,0,0,0
157.0498,0,0,0,0,0,0,0,0,,None,158.05707646688,0,0,0,0,4245928,0,0,0,0,0,0,0,0,0,0,0,0,0
157.05063,7,10,4,0,0,0,0,0,CHO,Lignin,158.05790646688,0.014820644178323,1,0,0,51861928,5206233,37022116,4678881,0,0,0,0,6159401,5212034,9962262,3472980,0,0
157.05086,0,0,0,0,0,0,0,0,,None,158.05813646688,0,0,0,0,4657576,0,0,0,0,0,0,0,0,0,0,0,0,0
157.08703,8,14,3,0,0,0,0,0,CHO,Protein,158.09430646688,-0.0768603263400019,1,0,0,0,0,0,3053541,0,0,0,0,0,0,0,0,0,0
157.12258,0,0,0,0,0,0,0,0,,None,158.12985646688,0,0,0,0,0,5343457,0,6124776,0,0,0,0,0,0,0,0,0,0
157.12318,0,0,0,0,0,0,0,0,,None,158.13045646688,0,0,0,0,0,0,4624813,0,0,0,0,0,0,0,0,0,0,0
157.1234075,9,18,2,0,0,0,0,0,CHO,Lipid,158.13068396688,-0.0262117376008511,1,0,0,17809840,78141152,56543660,70858984,0,0,0,0,5549105,3893898,5714206,3746652,0,0
157.5074,0,0,0,0,0,0,0,0,,None,158.51467646688,0,0,0,0,0,0,0,0,3968534,0,0,0,0,0,0,0,0,0
158.053985,6,10,4,0,1,0,0,0,CHO,Lignin,159.06126146688,0.0137074230114374,0,0,0,4463384,0,3388180,0,0,0,0,0,0,0,0,0,0,0
158.12676,8,18,2,0,1,0,0,0,CHO,Lipid,159.13403646688,-0.0113557101728384,0,0,0,0,8026446,6332957,7844177,0,0,0,0,0,0,0,0,0,0
159.02905,0,0,0,0,0,0,0,0,,None,160.03632646688,0,0,0,0,5999758,0,0,0,0,0,0,0,0,0,0,0,0,0
159.029898266667,6,8,5,0,0,0,0,0,CHO,Tannin,160.037174733547,-0.00853705813366148,1,3543305,4245291,77642384,8715190,55413384,4432822,0,0,0,0,13761291,8155231,24127492,4346679,3726233,2884169
159.03013,0,0,0,0,0,0,0,0,,None,160.03740646688,0,0,0,0,7314062,0,0,0,0,0,0,0,0,0,2548741,0,0,0
159.06629,7,12,4,0,0,0,0,0,CHO,AminoSugar,160.07356646688,-0.0474361894909488,1,0,0,0,3291579,4234894,2828474,0,0,0,0,0,2874467,2909961,0,0,0
159.10266,8,16,3,0,0,0,0,0,CHO,Protein,160.10993646688,0.0494224167085808,1,0,0,0,0,0,0,0,0,0,0,0,0,2393870,0,0,0
160.033255,5,8,5,0,1,0,0,0,CHO,Tannin,161.04053146688,-0.0202544040611068,0,0,0,5114640,0,3245835,0,0,0,0,0,0,0,0,0,0,0
160.03773,0,0,0,0,0,0,0,0,,None,161.04500646688,0,0,0,0,0,0,0,0,0,0,0,0,2639499,3431900,5632140,0,0,0
161.024413333333,9,6,3,0,0,0,0,0,CHO,ConHC,162.031689800213,0.0262830480389624,1,0,0,3730329,0,0,0,0,2402807,0,2818759,4087826,2970462,5444378,0,0,0
161.04467,0,0,0,0,0,0,0,0,,None,162.05194646688,0,0,0,0,0,0,3627414,0,0,0,0,0,0,0,0,0,0,0
161.045305,0,0,0,0,0,0,0,0,,None,162.05258146688,0,0,0,0,0,0,0,2685615,0,0,0,0,0,0,3314973,0,0,0
161.045548425,6,10,5,0,0,0,0,0,CHO,Carb,162.05282489188,-0.00901175275489757,1,8442320,19262722,20036508,30167226,40786836,31824558,0,0,0,0,15275028,21127522,38992156,14869569,6459792,9838308
161.04578,0,0,0,0,0,0,0,0,,None,162.05305646688,0,0,0,0,0,2993338,0,0,0,0,0,0,0,0,0,0,0,0
161.06077,10,10,2,0,0,0,0,0,CHO,Lignin,162.06804646688,0.204224834631611,1,0,0,0,0,0,0,0,2852861,0,0,0,0,0,0,0,0
161.06268,0,0,0,0,0,0,0,0,,None,162.06995646688,0,0,0,0,0,0,3470744,0,0,0,0,0,0,0,0,0,0,0
161.08193,7,14,4,0,0,0,0,0,CHO,AminoSugar,162.08920646688,0.0152441983208208,1,0,0,0,0,4620699,0,0,0,0,0,0,0,0,0,0,0
161.5492,0,0,0,0,0,0,0,0,,None,162.55647646688,0,0,0,0,0,0,0,0,0,0,0,2727955,0,0,0,0,0,0
162.0322425,0,0,0,0,0,0,0,0,,None,163.03951896688,0,0,0,0,5724718,2648646,4369959,4007989,0,0,0,0,12274852,5546989,10026420,3661009,0,0
162.048905,5,10,5,0,1,0,0,0,CHO,Carb,163.05618146688,-0.0196102960152444,0,0,0,0,0,2518057,0,0,0,0,0,0,0,2992823,0,0,0
162.0533725,0,0,0,0,0,0,0,0,,None,163.06064896688,0,0,0,0,0,0,0,0,0,0,0,0,4408999,11065840,15890871,5588180,0,0
163.02481,5,8,6,0,0,0,0,0,CHO,Other,164.03208646688,0.0092818425182373,1,0,0,2693065,0,0,0,0,0,0,0,0,0,0,0,0,0
163.040062,9,8,3,0,0,0,0,0,CHO,Lignin,164.04733846688,0.0344791941066867,1,0,0,13936844,5407711,12752068,4303303,0,3722791,0,3671802,14017855,8474244,21197400,5932397,0,0
163.061197142857,6,12,5,0,0,0,0,0,CHO,Carb,164.068473609737,-0.000695058183826353,1,0,0,9734351,0,9946311,3002571,0,0,0,0,25513282,7796360,37128796,6465904,0,0
163.50742,0,0,0,0,0,0,0,0,,None,164.51469646688,0,0,0,0,0,0,0,0,3261240,0,0,0,0,0,0,0,0,0
164.01151,0,0,0,0,0,0,0,0,,None,165.01878646688,0,0,0,0,0,0,0,0,0,0,0,0,2784990,0,4430080,0,0,0
164.04789,0,0,0,0,0,0,0,0,,None,165.05516646688,0,0,0,0,0,0,0,0,0,0,0,0,7816164,3715365,10778374,3616274,0,0
165.019327,8,6,4,0,0,0,0,0,CHO,ConHC,166.02660346688,0.0314053283362783,1,0,2755071,5821470,0,7055892,5263104,2486197,0,0,0,6585995,5962184,8206263,5392058,2456541,0
165.040458175,5,10,6,0,0,0,0,0,CHO,Other,166.04773464188,0.0205466219542378,1,3862446,4408066,7491618,5264168,12381720,4571395,0,0,0,0,0,0,0,0,3355872,3042135
165.055716,9,10,3,0,0,0,0,0,CHO,Lignin,166.06299246688,0.0103600444761844,1,0,0,7346724,6134570,12112410,8765701,0,4552827,0,4136531,9289362,9715662,17101758,7630528,0,0
165.0921,10,14,2,0,0,0,0,0,CHO,Lignin,166.09937646688,0.0194264425647448,1,0,0,0,0,0,0,0,0,0,0,0,0,2555845,0,0,0
165.53366,0,0,0,0,0,0,0,0,,None,166.54093646688,0,0,0,0,0,0,0,0,2527887,0,0,0,0,0,0,0,0,0
166.02716,0,0,0,0,0,0,0,0,,None,167.03443646688,0,0,0,0,10316503,3929046,8859341,7450027,0,0,0,0,14503746,5343866,17380472,5794161,0,0
166.998595,7,4,5,0,0,0,0,0,CHO,ConHC,168.00587146688,0.0105473692989807,1,0,0,0,0,0,0,0,0,0,0,6146042,0,3925307,0,0,0
167.00199,0,0,0,0,0,0,0,0,,None,168.00926646688,0,0,0,0,2646164,0,0,0,0,0,0,0,0,0,0,0,0,0
167.0342,0,0,0,0,0,0,0,0,,None,168.04147646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873154,0,0,0
167.034976428571,8,8,4,0,0,0,0,0,CHO,Lignin,168.042252895451,0.0348111768839791,1,0,5816877,16590746,10156178,20289422,16506463,0,3491821,2507112,3334089,19380226,13162804,31092034,11243568,2446394,2817071
167.071364,9,12,3,0,0,0,0,0,CHO,Lignin,168.07864046688,0.0225169599749812,1,0,0,0,0,2583446,0,0,0,0,0,4510728,4590907,6711626,3410488,0,0
168.006418,0,0,0,0,0,0,0,0,,None,169.01369446688,0,0,0,0,2951774,0,2873682,0,0,0,0,0,22702274,0,17167886,0,5380590,0
168.03834,7,8,4,0,1,0,0,0,CHO,Lignin,169.04561646688,-0.0170597739288111,0,0,0,0,0,0,0,0,0,0,0,0,0,3411733,0,0,0
168.0428075,0,0,0,0,0,0,0,0,,None,169.05008396688,0,0,0,0,0,0,0,0,0,0,0,0,16949450,6118392,17962518,7540985,0,0
168.07921,0,0,0,0,0,0,0,0,,None,169.08648646688,0,0,0,0,0,0,0,0,0,0,0,0,2854609,0,0,0,0,0
168.98122,0,0,0,0,0,0,0,0,,None,169.98849646688,0,0,0,0,2751276,0,0,0,0,0,0,0,0,0,0,0,0,0
169.01234,0,0,0,0,0,0,0,0,,None,170.01961646688,0,0,0,0,3132210,0,0,0,0,0,0,0,0,0,0,0,0,0
169.013275,0,0,0,0,0,0,0,0,,None,170.02055146688,0,0,0,0,14614834,0,10943780,0,0,0,0,0,0,0,0,0,0,0
169.013461775,0,0,0,0,0,0,0,0,,None,170.02073824188,0,0,2444275,0,0,0,0,0,0,0,0,0,2882707,0,3505899,0,3794096,0
169.014251321429,7,6,5,0,0,0,0,0,CHO,Tannin,170.021527788309,-0.0263802393169354,1,29074930,26497394,216883504,18550298,157507872,32657368,10490159,0,7982072,0,31666578,6328508,28430058,5593539,50621104,7708186
169.01451,0,0,0,0,0,0,0,0,,None,170.02178646688,0,0,0,2696561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.050628888889,8,10,4,0,0,0,0,0,CHO,Lignin,170.057905355769,0.0203085596160371,1,0,3136376,7215419,4245026,6327596,4637663,0,0,0,0,5897626,9071299,11337459,5600203,0,0
169.06595,0,0,0,0,0,0,0,0,,None,170.07322646688,0,0,0,0,0,0,0,0,0,2573196,0,0,0,0,0,0,0,0
169.087018,9,14,3,0,0,0,0,0,CHO,Protein,170.09429446688,-0.000888801061140164,1,0,0,0,0,0,2663399,0,0,0,0,3037090,2566859,3708667,3334098,0,0
169.123401428571,10,18,2,0,0,0,0,0,CHO,Lipid,170.130677895451,0.0113239338899237,1,0,0,2488650,0,7030076,3679726,0,0,0,0,4574122,4073170,5005571,4228570,0,0
170.017602733333,6,6,5,0,1,0,0,0,CHO,Tannin,171.024879200213,-0.00619391356791352,0,2623637,0,16577039,0,11971071,0,0,0,0,0,2426475,0,2512335,0,4254586,0
170.05846,0,0,0,0,0,0,0,0,,None,171.06573646688,0,0,0,0,0,0,0,0,0,0,0,0,0,2731927,3354073,0,0,0
170.554523333333,0,0,0,0,0,0,0,0,,None,171.561799800213,0,0,0,0,0,0,0,0,0,7101139,2896199,7020473,0,0,0,0,0,0
170.555565,0,0,0,0,0,0,0,0,,None,171.56284146688,0,0,0,0,0,0,0,0,0,3082963,0,3329465,0,0,0,0,0,0
170.9911,0,0,0,0,0,0,0,0,,None,171.99837646688,0,0,0,0,0,3683267,10021595,0,0,0,0,0,0,0,0,0,0,0
170.9969,0,0,0,0,0,0,0,0,,None,172.00417646688,0,0,0,0,3502061,0,0,0,0,0,0,0,0,0,0,0,0,0
171.029902222222,7,8,5,0,0,0,0,0,CHO,Tannin,172.037178689102,-0.0309340239509724,1,0,2469591,2941173,3466956,4369125,2637944,0,0,0,0,4928846,4142187,7574719,2526335,0,0
171.04516,11,8,2,0,0,0,0,0,CHO,ConHC,172.05243646688,-0.0404869593678409,1,0,0,0,0,0,0,0,3929922,0,0,0,0,0,0,0,0
171.066275714286,8,12,4,0,0,0,0,0,CHO,Protein,172.073552181166,0.0388928700941268,1,0,0,3358462,3854292,4612333,3686016,0,0,0,0,0,3568243,6075080,3496327,0,0
171.102665,9,16,3,0,0,0,0,0,CHO,Protein,172.10994146688,0.0169253441063611,1,0,0,2601734,6712796,5112565,8026504,0,0,0,0,4955998,2437755,0,0,0,0
171.1371,0,0,0,0,0,0,0,0,,None,172.14437646688,0,0,0,0,3168526,4325860,5591293,13685135,0,0,0,0,0,0,0,0,0,0
171.1380575,0,0,0,0,0,0,0,0,,None,172.14533396688,0,0,0,0,18166542,29188068,36061948,93020560,0,0,0,0,0,0,0,0,0,0
171.13824,0,0,0,0,0,0,0,0,,None,172.14551646688,0,0,0,0,0,0,0,0,0,0,0,0,6298470,3189379,8607961,9045911,0,0
171.138785,0,0,0,0,0,0,0,0,,None,172.14606146688,0,0,0,0,0,0,0,0,0,0,0,0,5112679,0,7901401,0,0,0
171.139051111111,10,20,2,0,0,0,0,0,CHO,Lipid,172.146327577991,0.013408411958835,1,0,4606699,261939984,456843232,526770944,1455153536,0,0,0,0,76030824,45289604,100344024,126705560,0,0
171.13932,0,0,0,0,0,0,0,0,,None,172.14659646688,0,0,0,0,0,0,0,0,0,0,0,0,6462311,3610755,0,0,0,0
172.141395,0,0,0,0,0,0,0,0,,None,173.14867146688,0,0,0,0,0,0,3376618,9390699,0,0,0,0,0,0,0,0,0,0
172.14240875,9,20,2,0,1,0,0,0,CHO,Lipid,173.14968521688,-0.00284655452216059,0,0,0,29479932,43663560,59704296,148546160,0,0,0,0,8509520,5587815,10756560,14194818,0,0
172.14268,0,0,0,0,0,0,0,0,,None,173.14995646688,0,0,0,0,0,3869897,0,0,0,0,0,0,0,0,0,0,0,0
172.14532,0,0,0,0,0,0,0,0,,None,173.15259646688,0,0,0,0,0,0,0,3326572,0,0,0,0,0,0,0,0,0,0
172.54904,0,0,0,0,0,0,0,0,,None,173.55631646688,0,0,0,0,0,0,0,0,0,0,2479125,0,0,0,0,0,0,0
172.95792,0,0,0,0,0,0,0,0,,None,173.96519646688,0,0,0,0,0,0,0,2962724,0,0,0,0,0,0,0,0,0,0
173.009160816667,6,6,6,0,0,0,0,0,CHO,Tannin,174.016437283547,0.00368731423861103,1,6766751,0,46027984,0,21075132,0,0,0,0,0,6116129,0,5594285,0,9123330,0
173.00943,0,0,0,0,0,0,0,0,,None,174.01670646688,0,0,0,0,3855568,0,0,0,0,0,0,0,0,0,0,0,0,0
173.045546666667,7,10,5,0,0,0,0,0,CHO,Tannin,174.052823133547,0.0017118558006086,1,0,3274328,11749593,5663646,12105926,5679928,0,0,0,0,5485354,5625915,10529462,4192092,0,0
173.06081,11,10,2,0,0,0,0,0,CHO,Lignin,174.06808646688,-0.0396493128867872,1,0,0,0,0,0,0,0,4861219,0,3656720,0,0,0,0,0,0
173.08193,8,14,4,0,0,0,0,0,CHO,Protein,174.08920646688,0.0141934130161922,1,0,0,0,3488678,4555983,3765056,0,0,0,0,2608691,3618884,4649663,4159333,0,0
173.118316666667,9,18,3,0,0,0,0,0,CHO,Protein,174.125593133547,0.00752648291300679,1,0,0,0,6425007,4868824,4580681,0,0,0,0,0,0,0,0,0,0
173.1433,0,0,0,0,0,0,0,0,,None,174.15057646688,0,0,0,0,0,0,0,6557518,0,0,0,0,0,0,0,0,0,0
173.145755,0,0,0,0,0,0,0,0,,None,174.15303146688,0,0,0,0,0,0,3089119,8544079,0,0,0,0,0,0,0,0,0,0
173.53869,0,0,0,0,0,0,0,0,,None,174.54596646688,0,0,0,0,0,0,0,0,2444592,0,0,0,0,0,0,0,0,0
174.01251,5,6,6,0,1,0,0,0,CHO,Tannin,175.01978646688,0.0359737612123717,0,0,0,2993613,0,0,0,0,0,0,0,0,0,0,0,0,0
174.03225,0,0,0,0,0,0,0,0,,None,175.03952646688,0,0,0,0,0,0,0,0,0,0,0,0,2507295,2467882,4239289,0,0,0
175.005545,0,0,0,0,0,0,0,0,,None,176.01282146688,0,0,0,0,4457680,0,4287674,0,0,0,0,0,0,0,0,0,0,0
175.024803533333,6,8,6,0,0,0,0,0,CHO,Tannin,176.032080000213,0.0453848337453269,1,3828253,2841323,10686165,2507398,7810751,2744077,0,0,0,0,9585438,0,8481990,0,8351708,0
175.04008125,10,8,3,0,0,0,0,0,CHO,Lignin,176.04735771688,-0.0772166089786961,1,0,0,0,0,0,0,2896552,6460187,4236676,5372430,5799714,4330533,9870538,3695955,0,0
175.06014,0,0,0,0,0,0,0,0,,None,176.06741646688,0,0,0,0,2928862,0,0,0,0,0,0,0,0,0,0,0,0,0
175.06091,0,0,0,0,0,0,0,0,,None,176.06818646688,0,0,0,0,0,0,3970760,0,0,0,0,0,0,0,0,0,0,0
175.061199357143,7,12,5,0,0,0,0,0,CHO,Carb,176.068475824023,-0.0132239621737503,1,3123236,0,43669216,6560655,44222152,4131606,0,0,0,0,0,2960427,0,0,3501029,0
175.07647,11,12,2,0,0,0,0,0,CHO,Lignin,176.08374646688,-0.0956220000771403,1,0,0,0,0,0,0,0,4017956,0,0,0,0,2452180,0,0,0
175.097585,8,16,4,0,0,0,0,0,CHO,Protein,176.10486146688,-0.013996660724504,1,0,0,0,0,2486738,2536991,0,0,0,0,0,0,0,0,0,0
176.011506666667,0,0,0,0,0,0,0,0,,None,177.018783133547,0,0,0,0,0,0,4135878,3451905,0,0,0,0,5009954,3024927,11666905,3731028,0,0
176.03264,0,0,0,0,0,0,0,0,,None,177.03991646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239903,0,0,0
176.04789,0,0,0,0,0,0,0,0,,None,177.05516646688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3738083,0,0,0
176.064545,6,12,5,0,1,0,0,0,CHO,Carb,177.07182146688,0.0387787279819703,0,0,0,3249388,0,3979220,0,0,0,0,0,0,0,0,0,0,0
176.106358888889,0,0,0,0,0,0,0,0,,None,177.113635355769,0,0,0,0,0,0,0,0,16346558,9804855,6682781,9202990,7584828,4751160,2423540,9663597,9389286,0
177.019345213333,9,6,4,0,0,0,0,0,CHO,ConHC,178.026621680213,-0.0730183677971295,1,2403502,3314074,24758516,7367056,38295772,13283074,4181171,3136050,2890389,3215915,12058932,5080618,17620730,5205350,3485646,0
177.03834,0,0,0,0,0,0,0,0,,None,178.04561646688,0,0,0,0,2924793,0,0,0,0,0,0,0,0,0,0,0,0,0
177.03939,0,0,0,0,0,0,0,0,,None,178.04666646688,0,0,0,0,17375482,0,13773024,0,0,0,0,0,0,0,0,0,0,0
177.039596666667,0,0,0,0,0,0,0,0,,None,178.046873133547,0,0,0,0,0,0,0,0,0,0,0,0,4204858,0,4538112,0,5531603,0
177.0401749,0,0,0,0,0,0,0,0,,None,178.04745136688,0,0,4387763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.040462,6,10,6,0,0,0,0,0,CHO,Carb,178.04773846688,-0.00232117502136959,1,53922740,11837342,260991232,27952534,205285600,17053448,0,0,0,0,45152568,8155695,54200064,3199852,82018768,13602450
177.040745566667,0,0,0,0,0,0,0,0,,None,178.048022033547,0,0,3957683,0,0,2663829,0,0,0,0,0,0,0,0,4919040,0,0,0
177.0548325,0,0,0,0,0,0,0,0,,None,178.06210896688,0,0,0,0,0,0,0,0,0,0,0,0,7775550,2568243,7064325,2440560,0,0
177.055723076923,10,10,3,0,0,0,0,0,CHO,Lignin,178.062999543803,-0.0300820673911274,1,0,2377122,16156926,10030489,17266916,13371148,2784316,7681852,3647647,5820470,93112640,31127092,84018952,29697392,0,0
177.056,0,0,0,0,0,0,0,0,,None,178.06327646688,0,0,0,0,0,0,0,0,0,0,0,0,7729470,0,7235333,0,0,0
177.076846666667,7,14,5,0,0,0,0,0,CHO,Carb,178.084123133547,0.00239411193260232,1,0,0,0,0,0,0,0,0,0,0,0,3244089,9937675,3194742,0,0
177.0921,11,14,2,0,0,0,0,0,CHO,Lignin,178.09937646688,0.0181175255129196,1,0,0,0,0,0,2517013,0,0,0,0,0,0,0,0,0,0
178.0227,8,6,4,0,1,0,0,0,CHO,ConHC,179.02997646688,-0.0723235306160804,0,0,0,2526224,0,3754998,0,0,0,0,0,0,0,0,0,0,0
178.027165,0,0,0,0,0,0,0,0,,None,179.03444146688,0,0,0,0,0,0,0,0,0,0,0,0,6589006,2914363,7996452,3767423,0,0
