,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,State,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944
9971,671.192593333333,0,0,0,0,0,0,0,0,,None,672.199869800213,0.0,8,,0,0,0,0,0,0,0,4784660,3504553,3181255,0,0,0,0,0,0
9972,671.19823,33,36,15,0,0,0,0,0,CHO,Lignin,672.2055064668799,-0.127906985561988,7,H-,0,0,0,0,0,0,2846129,2794005,4038059,3015369,5450143,0,5854475,0,0,0
9973,671.2096,0,0,0,0,0,0,0,0,,None,672.21687646688,0.0,7,,0,0,0,0,0,0,0,4448793,0,0,0,0,0,0,0,0
9974,671.21337,37,36,12,0,0,0,0,0,CHO,Lignin,672.22064646688,0.0448571761725859,7,H-,0,0,0,0,0,0,5099959,5509658,5643696,6132430,7539108,0,7337232,0,0,0
9975,671.22928,0,0,0,0,0,0,0,0,,None,672.23655646688,0.0,7,,0,0,0,0,0,0,0,3828254,3236276,0,0,0,0,0,0,0
9976,671.234476,34,40,14,0,0,0,0,0,CHO,Lignin,672.2417524668799,0.0796239147524564,6,H-,0,0,0,0,0,0,0,4086303,3165622,3560148,7457196,0,8934679,0,0,0
9977,671.2495299999999,0,0,0,0,0,0,0,0,,None,672.25680646688,0.0,4,,0,0,0,0,0,0,0,5304868,4083131,3805914,0,0,0,0,0,0
9978,671.27088,35,44,13,0,0,0,0,0,CHO,Lignin,672.27815646688,0.052110602901694,6,H-,0,0,0,0,0,0,0,0,0,0,4663736,0,5379362,0,0,0
9979,671.33469,0,0,0,0,0,0,0,0,,None,672.34196646688,0.0,5,,0,0,0,0,0,0,0,0,0,0,3093966,0,0,0,0,0
9980,672.1696,32,32,16,0,0,0,0,0,CHO,Lignin,672.16905142009,-0.0244570772981923,5,.-,0,0,0,0,0,0,0,0,0,0,2803436,0,0,0,0,0
9981,672.18483,36,32,13,0,0,0,0,0,CHO,Lignin,672.184281420091,0.0144222494959497,6,.-,0,0,0,0,0,0,0,0,0,0,3866353,0,0,0,0,0
9982,672.205725,0,0,0,0,0,0,0,0,,None,673.21300146688,0.0,5,,0,0,0,0,0,0,0,0,0,0,3285752,0,5711430,0,0,0
9983,672.220725,0,0,0,0,0,0,0,0,,None,673.22800146688,0.0,6,,0,0,0,0,0,0,0,0,0,0,3412221,0,3272267,0,0,0
9984,672.237585,0,0,0,0,0,0,0,0,,None,673.2448614668799,0.0,4,,0,0,0,0,0,0,0,0,0,0,2664195,0,4334160,0,0,0
9985,673.12007,0,0,0,0,0,0,0,0,,None,674.12734646688,0.0,6,,0,0,0,0,0,0,4908149,0,0,0,0,0,0,0,0,0
9986,673.156346666667,35,30,14,0,0,0,0,0,CHO,Lignin,674.1636231335469,-0.100066429422965,8,H-,0,0,0,0,0,0,4142211,0,0,2587994,3556415,0,0,0,0,0
9987,673.16813,21,38,24,0,0,0,0,0,CHO,Other,674.17540646688,-0.154732253644851,8,H-,0,0,0,0,0,0,0,3116085,0,0,0,0,0,0,0,0
9988,673.17179,0,0,0,0,0,0,0,0,,None,674.1790664668799,0.0,6,,0,0,0,0,0,0,2709640,3734582,2911231,3620191,0,0,0,0,0,0
9989,673.17697,0,0,0,0,0,0,0,0,,None,674.1842464668799,0.0,10,,0,0,0,0,0,0,0,0,0,0,2732102,0,0,0,0,0
9990,673.188695,0,0,0,0,0,0,0,0,,None,674.19597146688,0.0,7,,0,0,0,0,0,0,0,3349563,2994180,0,0,0,0,0,0,0
9991,673.192678333333,36,34,13,0,0,0,0,0,CHO,Lignin,674.199954800213,-0.0202039664832071,6,H-,0,0,0,0,0,0,4236432,3691580,6664198,4922727,8318027,0,7239546,0,0,0
9992,673.19983,0,0,0,0,0,0,0,0,,None,674.20710646688,0.0,7,,0,0,0,0,0,0,0,3288126,0,0,0,0,0,0,0,0
9993,673.20418,0,0,0,0,0,0,0,0,,None,674.21145646688,0.0,5,,0,0,0,0,0,0,0,3492927,0,3253610,0,0,0,0,0,0
9994,673.208435,0,0,0,0,0,0,0,0,,None,674.21571146688,0.0,7,,0,0,0,0,0,0,0,3937344,0,4275564,0,0,0,0,0,0
9995,673.20929,0,0,0,0,0,0,0,0,,None,674.21656646688,0.0,6,,0,0,0,0,0,0,0,0,4251659,0,0,0,0,0,0,0
9996,673.213706666667,33,38,15,0,0,0,0,0,CHO,Lignin,674.220983133547,0.12965742054131502,5,H-,0,0,0,0,0,0,4467864,3580994,7766028,4744558,6714451,0,8038273,0,0,0
9997,673.22504,0,0,0,0,0,0,0,0,,None,674.23231646688,0.0,6,,0,0,0,0,0,0,0,2624581,3278863,0,0,0,0,0,0,0
9998,673.228991428571,37,38,12,0,0,0,0,0,CHO,Lignin,674.236267895451,0.0871942839245097,7,H-,0,0,0,0,0,0,2927774,5090374,6172689,5485939,8981592,2968373,8861573,0,0,0
9999,673.24443,41,38,9,0,0,0,0,0,CHO,Lignin,674.2517064668799,-0.18338578703696198,7,H-,0,0,0,0,0,0,0,3174474,0,2926968,0,0,0,0,0,0
10000,673.2502033333329,34,42,14,0,0,0,0,0,CHO,Lignin,674.257479800213,-0.0352129773934232,5,H-,0,0,0,0,0,0,0,0,3403799,0,5921887,0,6182796,0,0,0
10001,673.26491,0,0,0,0,0,0,0,0,,None,674.2721864668799,0.0,10,,0,0,0,0,0,0,0,3332176,0,0,0,0,0,0,0,0
10002,673.28688,0,0,0,0,0,0,0,0,,None,674.2941564668799,0.0,4,,0,0,0,0,0,0,0,0,0,0,0,0,2926487,0,0,0
10003,674.1637599999999,0,0,0,0,0,0,0,0,,None,675.17103646688,0.0,7,,0,0,0,0,0,0,0,0,0,0,3123609,0,0,0,0,0
10004,674.18495,0,0,0,0,0,0,0,0,,None,675.19222646688,0.0,6,,0,0,0,0,0,0,0,0,0,0,0,0,3444911,0,0,0
10005,674.201,0,0,0,0,0,0,0,0,,None,675.20827646688,0.0,7,,0,0,0,0,0,0,0,0,0,0,4326822,0,2662580,0,0,0
10006,674.21663,0,0,0,0,0,0,0,0,,None,675.22390646688,0.0,9,,0,0,0,0,0,0,0,0,0,2862782,3198380,0,0,0,0,0
10007,674.2218,0,0,0,0,0,0,0,0,,None,675.22907646688,0.0,7,,0,0,0,0,0,0,0,0,0,0,0,0,5273787,0,0,0
10008,674.232465,36,38,12,0,1,0,0,0,CHO,Lignin,675.23974146688,-0.08877451420632002,8,H-,0,0,0,0,0,0,0,0,0,0,4599217,0,4672702,0,0,0
