Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941
186.077175,0,0,0,0,0,0,0,0,,None,186.076626420091,0,0,0,3093982,0,0,0,0,0,0,0,0,0,0,0,0,0,3469829
187.0247975,0,0,0,0,0,0,0,0,,None,187.024248920091,0,0,0,3895590,0,0,0,0,0,2843750,0,3068376,0,0,0,0,0,4233551
187.040085714286,0,0,0,0,0,0,0,0,,None,187.039537134376,0,0,0,0,0,3366336,6556556,3703243,5998249,2986347,3614215,4879326,0,0,0,0,0,0
187.04194,0,0,0,0,0,0,0,0,,None,187.041391420091,0,0,3506038,7559468,3283063,0,0,0,0,0,0,0,0,0,0,0,0,0
187.061195,0,0,0,0,0,0,0,0,,None,187.060646420091,0,1,4603261,7675187,5269117,0,0,0,0,0,6650382,12219366,4779420,0,0,0,2601333,4007259
187.076443333333,0,0,0,0,0,0,0,0,,None,187.075894753424,0,0,0,0,0,0,6370712,2611928,4190901,0,0,0,0,0,0,0,0,0
187.09757875,0,0,0,0,0,0,0,0,,None,187.097030170091,0,0,4607369,11003199,7755401,0,0,0,0,5156735,6138395,7514099,5906857,0,0,0,0,4970344
187.13299,0,0,0,0,0,0,0,0,,None,187.132441420091,0,0,0,0,0,0,0,0,0,2601867,0,0,0,0,0,0,0,0
187.133968,0,0,0,0,0,0,0,0,,None,187.133419420091,0,0,0,0,2891413,0,0,0,0,27112844,16642599,28398592,13398453,0,0,0,0,0
188.047891666667,11,8,3,0,0,0,0,0,CHO,ConHC,188.047343086757,0.00551107377253587,1,0,0,0,0,3072497,2631212,2594322,2846412,2764125,5412690,0,0,0,0,0,0
188.06122,0,0,0,0,0,0,0,0,,None,188.060671420091,0,0,0,2409875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188.137325,0,0,0,0,0,0,0,0,,None,188.136776420091,0,0,0,0,0,0,0,0,0,2907883,0,3685235,0,0,0,0,0,0
189.019345,0,0,0,0,0,0,0,0,,None,189.018796420091,0,0,0,0,0,4250483,0,2538375,0,4922918,0,4320959,0,0,0,0,0,0
189.040461111111,0,0,0,0,0,0,0,0,,None,189.039912531202,0,1,3537444,5883890,3303180,0,0,0,0,17088558,2910900,10497735,0,2397629,0,0,2869671,8505374
189.05572,0,0,0,0,0,0,0,0,,None,189.055171420091,0,0,0,3354104,3052817,3071360,11293789,5437332,7652226,4663859,6217914,9842381,5205081,0,0,0,0,0
189.05759,0,0,0,0,0,0,0,0,,None,189.057041420091,0,0,0,10950648,2612242,0,0,0,0,0,0,0,0,0,0,0,0,7467044
189.07684,0,0,0,0,0,0,0,0,,None,189.076291420091,0,1,5932081,11419647,6292760,0,0,0,0,0,0,5142229,0,0,0,0,0,5879851
189.09213,0,0,0,0,0,0,0,0,,None,189.091581420091,0,0,0,0,0,0,2928490,0,0,0,0,0,0,0,0,0,0,0
189.128475,0,0,0,0,0,0,0,0,,None,189.127926420091,0,0,0,0,0,0,0,0,0,0,0,4118760,2750067,0,0,0,0,0
190.027148333333,10,6,4,0,0,0,0,0,CHO,ConHC,190.026599753424,0.0469806654960487,1,0,0,0,3917277,0,2661237,0,4442003,3983887,6277185,2833335,0,0,0,0,0
190.06355,11,10,3,0,0,0,0,0,CHO,Lignin,190.063001420091,-0.0380547002695377,1,0,0,0,0,0,0,0,4966817,2645532,5311567,2429124,0,0,0,0,0
