m/z	I	S/N	Res.	I %	
181.05063	19493382	97.5	689474	4.3	
183.02989	5293666	25.0	721263	1.2	
183.06628	3196013	14.3	808045	0.7	
185.02778	2487516	10.7	648056	0.5	
185.04555	8109794	39.3	694084	1.8	
185.08194	3466478	15.7	657174	0.8	
185.11832	2645754	11.5	798442	0.6	
185.15471	7913222	38.3	705376	1.7	
187.04194	3506038	15.8	744904	0.8	
187.06118	4603261	21.4	710699	1.0	
187.09758	4607369	21.4	687146	1.0	
189.04046	3537444	16.0	675130	0.8	
189.07684	5932081	28.1	670886	1.3	
191.01972	3085539	13.6	707179	0.7	
191.03498	9174761	44.4	673968	2.0	
191.05611	18730736	92.6	660272	4.1	
191.07137	5375734	25.2	699608	1.2	
193.03539	3502022	15.7	671112	0.8	
193.05063	34007500	169.8	654699	7.4	
193.08701	2708186	11.7	595985	0.6	
194.05398	3586885	16.1	643349	0.8	
195.02989	7637176	36.5	659000	1.7	
195.05102	21683392	107.1	647785	4.7	
195.06628	9610438	46.4	676448	2.1	
195.13907	3804898	17.2	679214	0.8	
197.04420	4014023	18.2	734025	0.9	
197.04554	83361736	417.5	636021	18.2	
197.08194	2512086	10.7	672485	0.5	
197.15470	4765682	22.0	626869	1.0	
198.04890	8395093	40.3	645138	1.8	
199.06119	8856299	42.4	666089	1.9	
199.16767	3175702	13.9	782018	0.7	
199.16898	18797334	92.3	668413	4.1	
199.17035	366674720	1836.5	627411	80.3	
200.17371	49972400	248.6	634558	10.9	
200.17406	4639920	21.3	1211076	1.0	
201.04046	5630484	26.3	679880	1.2	
201.07686	3495971	15.5	626544	0.8	
201.11324	3200050	14.1	725054	0.7	
202.94139	3405614	15.0	633503	0.7	
203.05610	7651679	36.2	633233	1.7	
203.09250	2641262	11.2	707716	0.6	
205.03537	5916844	27.6	652207	1.3	
205.05064	5749938	26.7	590061	1.3	
205.05250	6483123	30.4	644944	1.4	
205.07177	6401212	30.0	653305	1.4	
207.02988	4255248	19.2	567916	0.9	
207.05102	8151065	38.6	630358	1.8	
207.06628	19791904	96.5	604683	4.3	
207.08742	4330537	19.6	651756	0.9	
208.06965	2678235	11.3	620086	0.6	
209.04555	15848333	76.9	624097	3.5	
209.06668	5539735	25.6	636398	1.2	
209.08191	4500382	20.4	628944	1.0	
209.15469	4563390	20.7	590201	1.0	
211.02480	3497738	15.4	602794	0.8	
211.06119	11319066	54.1	591933	2.5	
211.09761	3030827	13.0	601393	0.7	
213.04046	5879461	27.1	614443	1.3	
213.07684	4751030	21.6	560436	1.0	
213.18600	5152488	23.5	601309	1.1	
215.03279	4884035	22.1	578073	1.1	
215.05611	13342286	63.8	611391	2.9	
215.09247	2891871	12.3	587851	0.6	
215.12889	3251312	14.1	603411	0.7	
217.05065	2596857	10.8	723361	0.6	
217.07176	7995907	37.5	580385	1.8	
217.10815	2673685	11.2	660136	0.6	
219.02992	2862505	12.1	666351	0.6	
219.05101	10649011	50.5	573264	2.3	
219.06629	6021563	27.7	559655	1.3	
219.08743	3356101	14.6	586364	0.7	
221.00915	5710179	26.1	595756	1.2	
221.04554	10860917	51.4	574647	2.4	
221.06667	37005696	179.7	578209	8.1	
221.08193	5749126	26.2	610927	1.3	
222.07001	3093350	13.2	601571	0.7	
223.02480	4264249	19.0	619975	0.9	
223.06120	15871306	76.0	577598	3.5	
225.04046	10367255	48.7	574264	2.3	
225.07685	10414377	48.9	564162	2.3	
225.18599	5741919	26.1	613252	1.3	
227.05611	9557246	44.7	583091	2.1	
227.09248	3468048	15.0	548915	0.8	
227.20165	44995912	217.9	555804	9.8	
228.20500	7413563	34.2	564862	1.6	
229.07176	11796716	55.4	556145	2.6	
231.05102	7080142	32.5	546461	1.5	
231.06629	3620566	15.6	564793	0.8	
231.08742	5072096	22.7	574034	1.1	
233.04555	6840509	31.3	525766	1.5	
233.06668	19194056	91.4	557922	4.2	
233.08191	3186383	13.5	615644	0.7	
235.02483	5679273	25.5	588168	1.2	
235.04589	2413235	9.7	491724	0.5	
235.06120	9630907	44.6	558716	2.1	
235.08233	8606918	39.7	541693	1.9	
235.09760	3289805	13.9	546653	0.7	
236.10540	2462414	9.9	666958	0.5	
237.00411	2506392	10.1	493033	0.5	
237.04046	8317098	38.3	539299	1.8	
237.06160	20584628	97.6	553898	4.5	
237.07685	12343485	57.7	557133	2.7	
239.01974	5248156	23.4	571489	1.1	
239.05611	17214638	81.3	544476	3.8	
239.07726	6010042	27.1	566444	1.3	
239.09250	4925633	21.8	549545	1.1	
239.12649	4775123	21.1	544488	1.0	
239.12891	3130580	13.2	616035	0.7	
239.20167	3880185	16.8	529603	0.8	
241.03537	3227298	13.5	567227	0.7	
241.07177	13779125	64.3	542293	3.0	
241.10816	2801864	11.5	473139	0.6	
241.14453	3523802	15.0	609447	0.8	
241.21731	12407039	57.7	548520	2.7	
243.05105	5657770	25.2	522986	1.2	
243.08741	8434876	38.6	548157	1.8	
245.06669	11782321	54.7	528999	2.6	
245.10306	2437827	9.7	602038	0.5	
247.02480	6292634	28.1	541814	1.4	
247.06119	6165676	27.5	536701	1.3	
247.08233	13540535	62.8	520121	3.0	
249.03222	8564890	39.0	503947	1.9	
249.04045	6375583	28.5	560389	1.4	
249.06159	22163626	104.1	512060	4.9	
249.07687	7760049	35.2	536807	1.7	
251.05613	15709344	73.2	504771	3.4	
251.07494	3086506	12.8	588841	0.7	
251.07724	59073708	280.8	511740	12.9	
251.09251	6040755	26.8	558186	1.3	
252.05949	2587806	10.3	521702	0.6	
252.08060	6272681	27.9	535882	1.4	
253.03538	4179084	17.9	566130	0.9	
253.07177	12601503	58.0	517795	2.8	
253.10816	2683057	10.8	533624	0.6	
253.14210	2790594	11.3	552670	0.6	
253.21731	86354152	409.1	502627	18.9	
253.21787	7506153	33.7	947830	1.6	
254.22067	14936803	69.1	513072	3.3	
255.05101	7644294	34.4	510167	1.7	
255.08742	9669784	44.0	487780	2.1	
255.23295	97217760	460.8	497181	21.3	
255.23543	3543267	14.9	573963	0.8	
256.23632	17419994	80.9	517380	3.8	
257.06666	12456059	57.3	491910	2.7	
257.10304	4144269	17.7	490094	0.9	
259.06121	4312159	18.4	542406	0.9	
259.06308	2612320	10.4	511115	0.6	
259.08232	13055081	59.8	496850	2.9	
261.02282	2466859	9.7	530484	0.5	
261.04047	3926068	16.6	540437	0.9	
261.06159	5281854	23.0	521845	1.2	
261.07685	5363782	23.4	502972	1.2	
261.09798	4877392	21.1	519912	1.1	
261.13436	2913378	11.8	525839	0.6	
263.05611	9810963	44.4	477619	2.1	
263.05798	2499604	9.8	522381	0.5	
263.07725	19553310	90.5	482730	4.3	
263.09251	5609509	24.5	481567	1.2	
264.99898	3502022	14.5	509650	0.8	
265.03537	5461976	23.7	525550	1.2	
265.07176	13668329	62.3	478286	3.0	
265.09287	5701619	24.8	536631	1.2	
265.10815	3131387	12.7	552279	0.7	
265.14728	6160398	27.0	953365	1.3	
265.14791	73580560	344.0	482335	16.1	
266.15127	10187251	45.9	470055	2.2	
267.05103	14668708	67.0	482515	3.2	
267.07152	3140526	12.8	741500	0.7	
267.07216	20431790	94.1	491074	4.5	
267.08743	10791861	48.7	486981	2.4	
267.14371	3144656	12.8	513427	0.7	
267.19651	2580970	10.1	404065	0.6	
267.23296	3808251	15.9	461486	0.8	
269.03027	3898196	16.3	547535	0.9	
269.06668	22783846	105.1	478351	5.0	
269.08782	11814768	53.5	485231	2.6	
269.10308	5795703	25.2	488345	1.3	
269.13949	2924424	11.7	437813	0.6	
269.21228	3903403	16.3	482207	0.9	
269.24860	6870972	30.3	500192	1.5	
270.07002	3177792	12.9	483363	0.7	
271.04595	7365387	32.4	477432	1.6	
271.06117	3299090	13.4	443803	0.7	
271.08234	14859035	67.4	488873	3.3	
271.09757	3719971	15.4	502495	0.8	
271.22787	9804640	43.8	468018	2.1	
273.04050	3106474	12.5	493849	0.7	
273.06159	6921908	30.3	437742	1.5	
273.07683	6194875	26.9	486062	1.4	
273.09800	4593349	19.4	522069	1.0	
275.05614	5806663	25.1	501063	1.3	
275.07726	12636752	57.0	480655	2.8	
275.09251	3903063	16.2	478725	0.9	
277.03538	7318980	32.2	492923	1.6	
277.05648	2548173	9.9	453730	0.6	
277.07179	9166292	40.8	477748	2.0	
277.07365	5755349	24.9	462627	1.3	
277.09290	18482654	84.3	458784	4.0	
277.10812	3220965	13.0	525775	0.7	
277.14453	5579253	24.0	454933	1.2	
278.09623	2521501	9.7	532028	0.6	
279.01474	2652467	10.3	499237	0.6	
279.05103	7911747	34.7	459328	1.7	
279.07218	6074700	26.2	455498	1.3	
279.08741	11192659	49.9	463771	2.4	
279.23295	20052370	91.0	459663	4.4	
280.23636	3984201	16.5	501775	0.9	
281.03038	2462370	9.4	454908	0.5	
281.06667	13724849	61.7	452582	3.0	
281.08781	45571260	209.5	455928	10.0	
281.10305	6450369	27.9	473595	1.4	
281.24861	23477504	106.9	461782	5.1	
282.09115	5197417	22.1	471144	1.1	
282.25197	4506286	18.9	442395	1.0	
283.04593	5883903	25.3	452891	1.3	
283.08232	13598734	61.1	469050	3.0	
283.11872	3433502	13.9	463628	0.8	
283.26427	13815899	62.1	462910	3.0	
284.26764	2839041	11.2	518168	0.6	
285.06161	10103627	44.9	451380	2.2	
285.07679	2668881	10.4	475779	0.6	
285.09799	9927514	44.1	470339	2.2	
285.20713	3885959	16.0	489212	0.9	
287.05395	2906234	11.4	421314	0.6	
287.05613	4560507	19.0	479889	1.0	
287.07724	27305604	124.0	446600	6.0	
287.09248	3199626	12.8	460108	0.7	
287.11361	3563154	14.4	498008	0.8	
287.15003	3007137	11.9	499007	0.7	
288.08057	3280919	13.1	434209	0.7	
289.03537	2870674	11.2	458587	0.6	
289.05651	3134874	12.5	480906	0.7	
289.07175	7639456	33.2	464712	1.7	
289.09290	9773480	43.1	456928	2.1	
291.01468	4273301	17.7	499896	0.9	
291.05101	6159523	26.4	433547	1.3	
291.07215	6530219	28.1	463130	1.4	
291.07916	10386606	45.9	448437	2.3	
291.08741	8496305	37.2	427766	1.9	
291.10854	3883193	15.9	489673	0.9	
293.03030	4278163	17.7	493550	0.9	
293.06668	12165024	54.1	429577	2.7	
293.08780	17457064	78.6	444210	3.8	
293.10305	6719406	29.0	451755	1.5	
293.17585	12902345	57.5	427023	2.8	
293.17844	3297226	13.2	951302	0.7	
293.17920	35098572	160.0	440627	7.7	
293.17994	3964875	16.3	767743	0.9	
293.21222	6414295	27.6	455813	1.4	
294.17920	2582846	9.8	499254	0.6	
294.18256	5423424	22.9	410937	1.2	
295.00952	2479728	9.4	445944	0.5	
295.04593	6793853	29.2	440446	1.5	
295.08234	15680138	69.9	446691	3.4	
295.10346	14480018	64.4	444782	3.2	
295.11872	3159704	12.5	468673	0.7	
295.22787	3375807	13.5	425713	0.7	
296.08565	2634743	10.1	504714	0.6	
297.06160	8418644	36.6	449877	1.8	
297.08277	6280540	26.8	440653	1.4	
297.09797	11769185	52.0	439119	2.6	
297.15300	9076085	39.6	446819	2.0	
297.24352	22623636	101.8	431649	5.0	
298.24686	3935991	16.0	442875	0.9	
299.00544	4313088	17.8	462072	0.9	
299.05611	2457618	9.3	457781	0.5	
299.07724	12527641	55.5	441966	2.7	
299.09842	2909729	11.3	435591	0.6	
299.11362	4728870	19.7	437983	1.0	
300.99563	8411819	36.6	484047	1.8	
300.99899	186301104	853.0	423662	40.8	
301.05651	5376704	22.7	439066	1.2	
301.07175	8817349	38.4	455935	1.9	
301.09290	11401932	50.3	418588	2.5	
301.10817	4655825	19.3	426113	1.0	
302.00150	2681854	10.3	829337	0.6	
302.00235	28122110	127.0	425300	6.2	
303.00324	2885963	11.2	431215	0.6	
303.05104	5453146	22.9	431220	1.2	
303.07215	11402593	50.0	445527	2.5	
303.08741	8000871	34.5	437616	1.8	
303.10852	4192621	17.1	458869	0.9	
305.06667	7065579	30.2	432826	1.5	
305.08697	4644850	19.2	905066	1.0	
305.08781	51265520	231.9	418915	11.2	
305.10305	5298167	22.2	413330	1.2	
306.09116	5605683	23.6	458530	1.2	
307.04594	8536672	36.9	433193	1.9	
307.08233	12169835	53.5	417832	2.7	
307.10345	9081458	39.4	424854	2.0	
307.11868	3336822	13.2	429431	0.7	
309.06161	9762000	42.5	413326	2.1	
309.08274	6364374	27.0	423057	1.4	
309.09798	11125979	48.7	425844	2.4	
309.17071	6229233	26.4	401033	1.4	
309.17328	4441330	18.2	716160	1.0	
309.17413	45679860	206.4	410298	10.0	
310.06485	2875905	11.1	499291	0.6	
310.17750	6430243	27.3	455817	1.4	
311.04082	4344614	17.8	461420	1.0	
311.07725	19011376	84.7	412016	4.2	
311.09837	16545590	73.5	414465	3.6	
311.11361	6596411	28.1	436231	1.4	
311.16865	32712524	147.2	409965	7.2	
311.22278	11917148	52.3	410498	2.6	
312.08053	2712665	10.3	387282	0.6	
312.17199	6068340	25.5	419842	1.3	
313.05651	4264311	17.3	457370	0.9	
313.07175	2984315	11.5	441628	0.7	
313.09289	13572481	59.5	419499	3.0	
313.12932	2548108	9.5	445992	0.6	
313.23845	6359468	26.8	433640	1.4	
314.09628	2749091	10.4	477174	0.6	
315.01463	11357097	49.5	407848	2.5	
315.07215	12381114	54.1	413116	2.7	
315.08743	4883390	20.1	445061	1.1	
315.10855	10726340	46.6	400506	2.3	
315.18133	3113945	12.1	426746	0.7	
316.11194	2454750	9.1	445881	0.5	
317.06669	8017384	34.3	400967	1.8	
317.08781	8717806	37.5	403388	1.9	
317.10307	5412338	22.5	401818	1.2	
317.12419	2693112	10.2	386816	0.6	
319.04594	7796741	33.3	425545	1.7	
319.08232	10211343	44.3	405563	2.2	
319.10345	8783892	37.8	409698	1.9	
319.11874	3411993	13.4	434289	0.7	
321.06159	8436254	36.2	412419	1.8	
321.08273	11985444	52.3	397884	2.6	
321.09796	10224168	44.3	400991	2.2	
321.11905	3247662	12.7	419698	0.7	
321.21055	4334150	17.6	408558	0.9	
323.04085	8557601	36.5	404574	1.9	
323.07725	14144555	61.7	387457	3.1	
323.09837	105993264	475.3	392555	23.2	
323.09931	8803377	37.6	687318	1.9	
323.25913	2776154	10.5	480093	0.6	
324.08063	2542891	9.4	429271	0.6	
324.10171	14259505	62.2	401433	3.1	
324.99894	2526739	9.4	370678	0.6	
325.05654	7087650	29.9	391725	1.6	
325.07764	2880039	11.0	386368	0.6	
325.09290	15726123	68.8	391890	3.4	
325.10266	2915885	11.1	426030	0.6	
325.11405	5518896	22.8	397712	1.2	
325.12932	3709492	14.7	391515	0.8	
325.18429	33011266	146.6	393477	7.2	
326.18764	5676860	23.5	397636	1.2	
327.07215	7264278	30.7	412788	1.6	
327.08743	5632026	23.3	428171	1.2	
327.09328	4914203	20.1	395825	1.1	
327.10853	8966175	38.4	407655	2.0	
327.21769	2495546	9.2	466585	0.5	
329.06668	3658234	14.5	426844	0.8	
329.08778	12835327	55.8	375612	2.8	
329.10302	3705346	14.7	392082	0.8	
329.12420	4239880	17.1	418786	0.9	
329.23337	11799074	51.1	385795	2.6	
330.23674	2812688	10.6	460956	0.6	
331.04592	2663375	10.0	418017	0.6	
331.06708	14498772	63.3	393091	3.2	
331.08233	7570392	32.1	392848	1.7	
331.10345	9518044	40.8	402284	2.1	
331.11869	4802528	19.6	387656	1.1	
331.24897	7265279	30.7	399104	1.6	
332.25236	2532584	9.3	430444	0.6	
333.06159	9473442	40.3	387950	2.1	
333.08273	4760999	19.3	415573	1.0	
333.09798	10059178	43.0	384096	2.2	
333.11908	5469616	22.4	403777	1.2	
333.12615	4127153	16.4	378178	0.9	
335.04085	4751203	19.2	388795	1.0	
