m/z	I	S/N	Res.	I %	
355.0670668	3723947	19.1	352118	0.9	
355.0823522	6130349	32.8	350648	1.5	
355.0882244	4502190	23.6	351922	1.1	
355.1034493	8678064	47.3	349805	2.1	
355.1187701	2678451	13.2	350097	0.6	
355.1245431	2946740	14.7	340868	0.7	
357.0252200	3169239	16.0	386477	0.8	
357.0615518	5239773	27.8	345276	1.2	
357.0826989	5211104	27.6	341734	1.2	
357.0980021	5422050	28.8	349339	1.3	
357.1038255	14973923	83.0	337921	3.5	
357.1190564	4019173	20.8	321771	1.0	
359.0408807	2745609	13.6	402241	0.7	
359.0750373	2576142	12.6	304828	0.6	
359.0772471	8942862	48.8	337365	2.1	
359.0983638	9968913	54.6	341756	2.4	
359.1135905	3782932	19.5	350613	0.9	
359.1194454	2406677	11.7	402008	0.6	
360.0850036	2876838	14.3	328876	0.7	
361.0201279	6479410	34.8	355201	1.5	
361.0564902	6487608	34.8	360034	1.5	
361.0776092	3715643	19.1	372234	0.9	
361.0928805	11050557	60.7	344898	2.6	
361.1140107	5277248	28.0	352807	1.2	
362.0279089	3168969	16.0	363183	0.8	
363.0357402	2703199	13.3	409618	0.6	
363.0721532	10555236	57.9	347372	2.5	
363.0933237	3040103	15.3	372041	0.7	
363.1085512	6989674	37.7	353850	1.7	
365.0514228	3971209	20.5	341759	0.9	
365.0878169	9203854	50.3	340705	2.2	
365.1089423	5566609	29.6	326644	1.3	
365.1241655	3221652	16.3	343705	0.8	
367.0671045	4204977	21.7	335262	1.0	
367.0823759	2863539	14.1	349645	0.7	
367.1034673	9580982	51.9	328000	2.3	
367.1245416	3421626	17.3	332751	0.8	
369.0615200	2611925	12.7	371399	0.6	
369.0827464	5933784	31.4	355360	1.4	
369.0979629	4428506	22.9	339251	1.0	
369.1038477	6058715	32.1	328533	1.4	
369.1190451	5894877	31.2	322535	1.4	
371.0044501	4296688	22.2	343257	1.0	
371.0408382	6798325	36.2	355806	1.6	
371.0772695	5293051	27.8	339088	1.3	
371.0983826	8047614	43.2	341561	1.9	
371.1136467	3380224	17.0	362065	0.8	
371.1194977	6056961	32.1	333857	1.4	
373.0201217	4061461	20.8	350463	1.0	
373.0564826	5328154	28.0	336762	1.3	
373.0775971	2699549	13.2	368572	0.6	
373.0928676	8545567	46.0	320291	2.0	
373.1140150	6739235	35.9	312295	1.6	
373.1292788	2539813	12.3	341612	0.6	
374.1007108	2419122	11.6	354217	0.6	
375.0357642	2944569	14.6	330099	0.7	
375.0721439	8691262	46.9	327508	2.1	
375.0932835	5826114	30.8	342203	1.4	
375.1085674	8214084	44.2	323108	1.9	
376.0799832	6356689	33.7	333774	1.5	
377.0514169	11327326	61.7	332552	2.7	
377.0855538	8492899	45.7	264239	2.0	
377.0878042	39282532	218.8	319409	9.3	
377.1089423	7257958	38.8	331859	1.7	
377.1241590	5713768	30.1	328078	1.4	
378.0591974	3152880	15.7	330345	0.7	
378.0911041	7696373	41.3	322056	1.8	
378.0956533	3924981	20.1	333812	0.9	
379.0670462	5855362	30.9	345116	1.4	
379.0825586	3277957	16.4	328510	0.8	
379.1034170	10954888	59.6	333462	2.6	
379.1245642	3797131	19.4	323634	0.9	
379.1397758	2716813	13.3	351946	0.6	
381.0827374	7274920	38.5	333905	1.7	
381.1038336	5806507	30.3	331772	1.4	
381.1191133	7283117	38.5	329685	1.7	
383.0772731	3612363	18.1	345220	0.9	
383.0984236	8987342	48.0	319277	2.1	
383.1136557	3669712	18.4	365801	0.9	
383.1195049	9378513	50.2	322839	2.2	
385.0564478	3931117	19.9	373028	0.9	
385.0929038	6943731	36.6	333335	1.6	
385.1140092	8743925	46.7	330368	2.1	
385.1293365	2842616	13.8	315808	0.7	
387.0358010	6362385	33.4	348354	1.5	
387.0721923	5412119	28.1	315430	1.3	
387.0933149	3631386	18.2	359857	0.9	
387.1085481	6180124	32.4	333623	1.5	
387.1143905	2603293	12.5	323642	0.6	
387.1296448	3735839	18.8	338708	0.9	
389.0514064	3453500	17.2	337372	0.8	
389.0877831	8121922	43.2	308678	1.9	
389.1089632	5850693	30.6	332317	1.4	
389.1241920	4818503	24.8	327582	1.1	
391.0670646	11337578	61.1	327869	2.7	
391.1034893	10448751	56.1	316224	2.5	
391.1246077	4579187	23.5	288237	1.1	
391.1398537	2527093	12.1	339944	0.6	
392.0747865	3819522	19.3	327308	0.9	
392.1067409	2455559	11.7	331060	0.6	
393.0827463	10072218	54.0	316236	2.4	
393.1039023	3894430	19.7	335409	0.9	
393.1191576	7635104	40.5	310185	1.8	
395.0619685	2557897	12.1	311085	0.6	
395.0983760	11932110	63.6	320428	2.8	
395.1195125	9155025	48.4	306262	2.2	
395.1348023	3643860	18.1	325662	0.9	
396.1016571	2492009	11.7	319509	0.6	
396.1060957	2389609	11.2	301382	0.6	
397.0775571	4193024	21.1	332468	1.0	
397.0929968	3967746	19.9	316401	0.9	
397.0987916	6923011	36.1	326677	1.6	
397.1140374	8516357	44.9	314866	2.0	
397.1351631	2823944	13.6	294561	0.7	
398.1174754	2421665	11.4	322224	0.6	
398.1218147	2403234	11.3	329063	0.6	
399.0358066	2667569	12.7	302544	0.6	
399.0722294	3708983	18.4	322587	0.9	
399.0933438	3933242	19.7	323223	0.9	
399.1086061	5055549	25.8	309962	1.2	
399.1144408	7410750	38.8	305891	1.8	
399.1296666	4387904	22.2	338228	1.0	
401.0513887	6309232	32.7	298328	1.5	
401.0878328	7122294	37.2	314531	1.7	
