m/z	I	S/N	Res.	A %	
427.10344	7812172	27.7	285570	9.0	
427.11618	5308497	18.2	228873	6.6	
427.11867	14558289	53.3	287513	17.8	
427.12460	6007892	20.9	274910	7.0	
427.13392	5004375	17.1	280114	5.6	
427.13978	17904728	66.0	281633	22.7	
427.15506	11469918	41.6	305231	13.0	
427.16090	2842720	8.9	335940	2.4	
427.17618	8238182	29.4	307905	9.0	
427.19152	3138667	10.0	302592	2.9	
428.08532	2958758	9.1	273375	3.1	
428.09012	3270055	10.3	268423	3.7	
428.10531	2791853	8.5	346960	2.4	
428.11134	3021231	9.4	289436	2.8	
428.12218	4392371	14.5	289877	4.8	
428.12655	5119412	17.2	292770	5.8	
428.14316	5053882	16.9	273897	6.2	
428.14759	2900412	8.9	298089	2.7	
428.15843	2912703	9.0	353410	2.2	
428.16297	2870721	8.8	303858	2.7	
429.06140	3146494	9.8	272575	3.5	
429.09549	4968202	16.6	249067	6.8	
429.09797	11331338	40.2	290951	13.9	
429.11318	6375184	21.8	277458	7.4	
429.11905	12719890	45.4	290086	15.5	
429.12808	2628373	7.9	339158	2.2	
429.13206	3903255	12.7	241114	4.8	
429.13431	16406295	59.1	289587	19.6	
429.14032	4145945	13.6	259141	4.8	
429.14948	6033181	20.6	274184	6.9	
429.15543	12269343	43.7	287724	15.2	
429.17066	9701156	34.2	284726	11.6	
429.19177	3568428	11.4	262664	4.1	
429.20720	2769713	8.4	300447	2.6	
430.10124	2943085	9.1	355903	2.4	
430.10580	4784238	15.9	275795	5.8	
430.11649	2609778	7.8	240533	2.3	
430.12100	3070068	9.6	251664	3.3	
430.12684	2547830	7.6	313211	2.3	
430.13773	3105914	9.7	302939	3.0	
430.14236	4984955	16.7	310131	5.4	
430.15883	3536001	11.3	300780	3.6	
430.17403	2543750	7.6	359672	1.8	
431.07458	3220933	10.1	253643	3.8	
431.07724	5061062	16.9	300749	5.4	
431.09024	3123658	9.8	212044	3.7	
431.09243	6078923	20.7	299200	6.5	
431.09841	4195789	13.7	247398	5.2	
431.11131	6011346	20.5	229760	7.5	
431.11362	14870994	53.4	286045	18.9	
431.11944	3274197	10.3	274774	3.6	
431.12877	7127512	24.6	291543	8.1	
431.13473	15759834	56.7	277787	20.1	
431.14794	3114463	9.7	196932	3.9	
431.14999	14748127	52.9	295195	17.8	
431.16523	3155429	9.9	253609	3.5	
431.17112	8147431	28.4	289275	9.7	
431.18635	5511660	18.6	284111	6.2	
431.28031	2553358	7.6	305077	2.2	
432.10027	4258608	14.0	309909	4.4	
432.11697	3279670	10.3	343077	2.8	
432.12131	4860727	16.2	302191	4.9	
432.13664	3853117	12.5	292262	3.3	
432.13815	3949373	12.8	245838	3.9	
432.14251	3129151	9.8	309366	3.2	
432.15334	2670403	8.1	407246	1.8	
432.15774	2611012	7.8	325331	2.2	
433.06954	2912392	9.0	299453	2.9	
433.07170	2872456	8.8	349167	2.4	
433.09039	3324047	10.5	247264	3.5	
433.09287	8512656	29.8	265849	10.9	
433.10585	3431573	10.9	210854	4.1	
433.10806	8621205	30.2	285198	10.5	
433.11395	6691991	23.0	282959	8.2	
433.12318	3146907	9.8	284404	3.2	
433.12923	17407132	62.8	274647	23.2	
433.13511	3043487	9.5	255104	3.4	
433.14442	7693474	26.7	274260	9.1	
433.15035	13860004	49.6	287071	16.8	
433.16562	10456234	37.0	288910	13.4	
433.18082	3484847	11.1	328613	3.1	
433.18677	2985137	9.2	318018	2.7	
433.20182	3938487	12.8	289630	4.0	
434.10089	2956790	9.1	319391	2.6	
434.11592	3488251	11.1	333720	3.1	
434.13271	4521473	14.9	266163	5.3	
434.13704	3625475	11.6	304721	3.4	
434.14792	2509319	7.5	250695	3.1	
434.15373	3656201	11.7	298204	3.7	
434.16906	2604558	7.8	325056	1.9	
435.07212	3063631	9.5	246509	3.7	
435.08502	3550036	11.3	257328	3.9	
435.08737	5939029	20.2	291333	7.3	
435.10605	4187996	13.7	247696	5.0	
435.10848	11829084	42.1	283065	15.1	
435.12137	3390305	10.7	232158	4.3	
435.12376	11108194	39.4	281490	13.4	
435.12961	9101156	32.0	292376	10.6	
435.13890	4669287	15.5	274780	5.3	
435.14222	3071848	9.6	200864	3.8	
435.14493	15646569	56.3	293000	18.8	
435.16010	6182767	21.1	289215	6.7	
435.16602	6274929	21.5	290051	7.2	
435.18125	6920054	23.9	290994	8.4	
436.09518	2767036	8.4	232951	3.3	
436.11641	3502275	11.2	314665	3.4	
436.13154	3971273	12.9	305693	4.2	
436.14830	4716751	15.7	289939	5.1	
436.15266	3181776	10.0	295325	3.0	
437.08777	4710942	15.6	311839	4.7	
437.10068	4297251	14.1	255707	5.0	
437.10306	8143395	28.4	296038	9.2	
437.10875	2739237	8.3	251809	3.4	
437.11819	3172905	9.9	297993	3.4	
437.12411	13648427	48.8	282333	17.9	
437.13018	2811437	8.6	291665	2.8	
437.13938	9806384	34.6	286175	12.1	
437.14525	9040434	31.7	281166	10.8	
437.16055	12350008	44.0	285581	15.4	
437.17581	5243453	17.6	298804	5.3	
437.19685	4274757	14.0	295980	4.5	
438.10656	2746250	8.3	276786	3.1	
438.11071	3817355	12.3	310954	3.8	
438.12766	3262353	10.3	279321	3.7	
438.13194	4027283	13.1	299516	4.2	
438.14259	2854807	8.7	320587	2.7	
438.14736	3432344	10.9	294765	3.5	
438.16388	3602334	11.5	281058	4.2	
439.07978	2982118	9.2	265620	3.3	
439.08239	4883687	16.3	281813	5.7	
439.09750	4223212	13.8	277867	4.6	
439.10119	3411694	10.8	235101	3.9	
439.10341	7881967	27.4	296924	9.1	
439.11612	4329715	14.2	225326	5.5	
439.11864	10065140	35.5	284173	12.7	
439.12450	4572406	15.1	267069	5.5	
439.12682	3722487	12.0	247700	4.0	
439.13378	4021497	13.1	258566	4.7	
439.13983	15103227	54.2	271497	20.3	
439.15509	9696513	34.2	267497	13.3	
439.16101	5031171	16.8	296332	5.7	
439.17622	8393992	29.3	271213	11.4	
439.19140	2928910	9.0	305006	2.8	
440.09027	2569808	7.7	352810	1.9	
440.12209	3426907	10.9	290696	3.5	
440.12656	4867677	16.2	304316	5.2	
440.14329	3278435	10.3	358259	2.7	
440.15845	2877032	8.8	289886	2.7	
441.07689	2554802	7.6	301509	2.5	
441.09545	5016505	16.8	234338	6.3	
441.09789	8765369	30.7	267648	11.5	
441.11316	4992959	16.7	237199	5.8	
441.11906	9701313	34.2	282229	12.2	
441.12775	2638788	7.9	316207	2.2	
441.13179	4101062	13.4	250039	5.1	
441.13430	12969926	46.3	282553	16.6	
441.14024	5189577	17.4	295384	5.7	
441.14934	4009932	13.0	294812	4.6	
441.15544	11982798	42.6	280450	15.4	
441.17067	7909332	27.5	284114	9.9	
441.19176	5273563	17.7	296417	5.9	
442.10578	3021092	9.4	295081	3.0	
442.12099	4020521	13.1	313763	3.8	
442.12701	2918699	9.0	283826	2.9	
442.13778	3211567	10.1	333753	2.7	
442.14217	3630385	11.6	318346	3.4	
442.15887	2737463	8.3	325571	2.5	
443.07721	3961473	12.8	261811	4.8	
443.09237	4330118	14.2	290561	5.0	
443.09850	5188233	17.4	280600	6.0	
443.11124	5658253	19.2	226476	7.2	
443.11360	12315278	43.9	274207	16.2	
443.11947	2684560	8.1	261143	2.8	
443.12875	6177428	21.1	285708	7.3	
443.13473	11844245	42.1	286726	15.2	
443.14058	3942040	12.8	279087	4.4	
443.15000	13744795	49.2	275499	17.9	
443.15581	2828957	8.6	281703	2.8	
443.16502	3136160	9.8	274804	3.7	
443.17106	9177763	32.2	285469	11.7	
443.18630	5043880	16.9	259456	6.7	
444.12155	4860921	16.2	286125	5.4	
444.13658	2844670	8.7	338103	2.5	
444.13821	3126271	9.7	301766	3.1	
444.14261	2577409	7.7	308855	2.3	
444.15328	4268037	14.0	283002	4.6	
444.15780	2794502	8.5	320087	2.7	
445.07154	2875728	8.8	283470	3.0	
445.09290	8557911	29.9	259905	11.7	
445.10805	6552925	22.5	269016	8.3	
445.11399	7697759	26.7	274782	9.7	
445.12304	3762530	12.1	278813	4.3	
445.12923	15056228	54.1	268229	21.0	
445.13525	3305831	10.4	241133	3.3	
445.14452	8291690	28.9	271045	10.9	
445.15041	13229420	47.3	279156	18.2	
445.16564	12287345	43.8	288650	15.3	
445.18671	4808057	16.0	299981	5.0	
445.20209	3651967	11.7	309476	3.4	
446.10060	3332803	10.5	298617	3.4	
446.11600	3458761	11.0	254186	3.4	
446.13277	4691663	15.6	281682	5.4	
446.13711	5424848	18.3	282237	6.3	
446.14756	2783956	8.5	338028	2.3	
446.15387	3636950	11.4	329340	3.3	
446.16903	3482332	10.8	319584	3.2	
447.07213	3567650	11.1	296104	4.3	
447.08735	4739112	15.4	283166	5.5	
447.10849	11407407	39.6	266255	15.4	
447.12375	8380469	28.6	270136	11.2	
447.12964	9912375	34.2	289634	11.9	
447.13874	3714106	11.7	215354	5.4	
447.14487	16822332	59.3	277092	22.5	
447.15109	2825279	8.4	242443	3.1	
447.16001	7721026	26.2	293205	9.1	
447.16604	9654340	33.3	275457	12.1	
447.18127	8095818	27.6	261054	11.7	
448.09518	3294612	10.1	294997	3.7	
448.11205	3659163	11.5	294859	4.0	
448.11639	3765660	11.9	262816	4.4	
448.12723	3722656	11.7	242173	4.9	
448.13144	3821986	12.1	292597	4.6	
448.13752	3188132	9.8	263050	3.8	
448.14815	5601704	18.5	291135	6.3	
448.15267	3696041	11.6	305976	3.8	
448.16320	3030445	9.2	248653	3.6	
448.16938	3072431	9.3	278073	3.2	
448.18460	2722229	8.1	292604	2.7	
449.08523	2957563	8.9	232815	3.9	
449.08772	5495548	18.1	265499	6.8	
449.10064	4007681	12.7	213989	4.8	
449.10295	8450817	28.9	273750	11.2	
449.10881	4355844	14.0	244668	5.8	
449.11813	3948295	12.5	280456	4.9	
449.12412	16286473	57.3	270355	22.7	
449.13013	4331276	13.9	270006	5.6	
449.13936	10633999	36.8	269291	14.4	
449.14527	10969873	38.0	275960	14.2	
449.15450	2746132	8.1	211662	4.1	
449.16054	16601878	58.5	287893	22.5	
449.17581	5139228	16.8	253130	7.2	
449.18168	4272926	13.7	282900	4.8	
449.19685	5520164	18.2	292623	6.2	
450.10654	2787438	8.3	262330	3.4	
450.11100	3841135	12.1	278393	5.1	
450.12760	3075189	9.3	276373	4.1	
450.13203	4197495	13.4	282892	5.1	
450.14274	3366011	10.4	294344	3.5	
450.14707	2951292	8.9	342762	3.0	
450.16394	4947075	16.1	290850	5.5	
450.16844	3148932	9.6	273909	3.6	
451.08226	5264848	17.3	269573	6.6	
451.10101	3636695	11.4	267170	3.6	
451.10342	9070040	31.1	277256	11.8	
451.11632	5046748	16.5	235374	6.2	
451.11870	11777501	41.0	268222	16.3	
451.12456	5445087	18.0	238186	8.3	
451.13374	5033443	16.5	250123	7.0	
451.13979	16831972	59.3	270817	24.2	
451.15503	10294762	35.6	271974	13.5	
451.16094	7497197	25.4	268947	9.9	
451.17620	12408306	43.3	282736	16.2	
451.19147	3711480	11.7	280581	3.9	
451.21255	2918911	8.8	310220	2.6	
452.09001	3281726	10.1	261356	3.8	
452.11140	2830662	8.4	226264	4.1	
452.12207	3211082	9.8	286766	3.9	
452.12640	4470604	14.4	296383	5.6	
452.14324	4413266	14.2	301859	5.2	
452.14755	4514643	14.6	267089	5.2	
452.15850	2774871	8.2	326405	2.4	
452.16283	2536281	7.4	350546	2.2	
452.17966	2889567	8.7	279028	3.1	
453.08258	3336360	10.3	282320	4.0	
453.09551	5199020	17.1	192747	7.2	
453.09793	6881453	23.2	249055	9.3	
