m/z	I	S/N	Res.	A %	
543.15081	6232891	18.9	246462	10.2	
543.16304	3490624	9.8	298066	3.9	
543.16593	9231169	28.8	252830	15.9	
543.17199	2778947	7.4	230700	4.2	
543.18107	3501894	9.8	179979	6.5	
543.18715	7060297	21.6	241431	12.0	
543.20225	6523726	19.8	261113	10.0	
543.21788	2875220	7.7	226020	4.4	
544.17375	2807987	7.5	247165	3.8	
544.20588	3374271	9.4	245380	4.8	
545.11773	2809358	7.5	280992	4.2	
545.12424	5058065	15.0	201259	10.7	
545.14521	8363544	25.9	230102	15.9	
545.16047	5983774	18.0	229013	10.8	
545.16650	6755872	20.6	244958	11.4	
545.17220	3497506	9.8	293394	4.6	
545.18164	9268773	28.9	249081	15.4	
545.19672	4070955	11.7	219289	7.3	
545.20285	4654638	13.6	256685	7.1	
545.21794	5322291	15.8	239736	8.7	
546.15310	3100554	8.5	233790	5.0	
546.16402	3108750	8.5	249889	4.4	
546.18510	3391382	9.4	263619	4.7	
546.18925	2840471	7.6	243098	4.0	
547.10366	2556135	6.7	261642	3.3	
547.12454	3938543	11.3	230978	6.6	
547.13981	5507316	16.5	223339	10.0	
547.14589	2796790	7.5	284341	3.4	
547.15781	3168507	8.7	318041	3.5	
547.16092	10916092	34.4	240725	19.0	
547.17614	7086338	21.7	238495	12.7	
547.18197	6889732	21.0	239262	12.0	
547.19724	9253129	28.9	237284	16.9	
547.21247	3108111	8.5	261470	4.3	
547.21866	2762001	7.4	255308	3.9	
547.23367	2827543	7.6	214225	3.9	
548.16470	2564716	6.7	270893	3.2	
548.16870	2902637	7.8	261082	3.8	
548.20091	2710137	7.2	221449	4.3	
549.11899	3390409	9.4	246939	5.3	
549.13374	2995151	8.1	206694	5.2	
549.14007	5389265	16.1	224584	9.7	
549.15556	8238039	25.5	223497	15.6	
549.16128	6042585	18.2	250686	9.6	
549.17033	3202012	8.8	223419	5.3	
549.17341	3533789	9.9	326459	3.9	
549.17651	11277278	35.6	233153	20.6	
549.19188	6931428	21.2	226121	13.1	
549.19780	4461542	13.0	212180	8.0	
549.21276	7447532	22.9	238582	12.9	
549.22803	3198961	8.8	221086	4.9	
550.15951	2894150	7.8	204227	4.9	
550.17741	2656589	7.0	303945	3.1	
550.18023	3716430	10.5	271189	5.0	
551.13471	5922475	17.8	231529	11.3	
551.15001	3599024	10.1	199462	7.2	
551.15581	10331826	32.4	232901	19.9	
551.16809	3053239	8.3	316424	3.4	
551.17106	8050360	24.9	248537	13.9	
551.17686	6274746	19.0	236899	10.9	
551.18926	3677887	10.4	339274	3.9	
551.19215	10753727	33.8	244084	18.8	
551.20742	5676741	17.0	217129	11.4	
551.21326	5029576	14.9	246947	8.1	
551.22856	4347597	12.6	237529	6.8	
552.14266	2818075	7.5	227967	4.1	
552.15953	2723873	7.2	285969	3.5	
552.19581	3446830	9.6	249172	5.5	
553.11393	3592573	10.1	240982	5.8	
553.12893	3579267	10.1	224176	6.6	
553.13515	4094341	11.8	258190	6.1	
553.14737	2904458	7.8	321310	3.0	
553.15029	7960971	24.6	249351	13.8	
553.15585	3402125	9.5	253613	5.1	
553.16545	4159888	12.0	205199	7.9	
553.16857	3033489	8.2	350408	2.9	
553.17148	10697106	33.6	243720	18.7	
553.18381	3135895	8.6	331631	3.5	
553.18667	7051672	21.6	239342	12.3	
553.20768	7412128	22.8	242171	13.3	
553.22310	4055461	11.6	239892	6.2	
553.24412	2825645	7.6	231736	4.0	
554.15377	2966265	8.0	265325	4.1	
554.17535	3316481	9.2	268718	4.6	
554.19033	2859782	7.7	249439	4.0	
555.12964	5309533	15.8	225880	9.6	
555.14500	4701282	13.8	226130	8.6	
555.15075	6732900	20.5	247424	11.2	
555.16311	3939433	11.2	328374	4.6	
555.16588	9096298	28.3	249941	15.4	
555.17193	3969132	11.3	229877	6.4	
555.18110	4660335	13.6	244782	8.0	
555.18697	9268337	28.9	234852	17.0	
555.20221	6386807	19.4	239261	11.2	
555.22357	4459647	13.0	243019	7.1	
556.17351	2556377	6.7	268031	3.3	
556.20615	2801124	7.5	231993	4.1	
557.12413	3650355	10.3	218512	6.8	
557.14525	7057210	21.6	220788	14.3	
557.15174	2684733	7.1	257448	3.5	
557.16032	5381952	16.0	221114	10.5	
557.16644	7434050	22.8	236114	13.3	
557.17877	3245894	8.9	363577	3.0	
557.18167	9785159	30.6	245503	17.2	
557.19672	3904333	11.1	210102	7.4	
557.20286	6346575	19.2	216248	12.0	
557.21802	5848917	17.6	244411	9.8	
558.15275	2747561	7.3	216335	4.3	
558.16780	2871470	7.7	273366	3.9	
558.18534	2590901	6.8	244891	3.8	
559.10335	3028482	8.2	211556	5.2	
559.12449	4995594	14.7	241746	8.3	
559.13971	4274703	12.4	226067	7.8	
559.14583	4200978	12.1	265345	6.1	
559.15780	2822678	7.5	274223	3.5	
559.16084	8671767	26.9	237784	15.9	
559.17327	2671131	7.0	317529	2.9	
559.17630	6378013	19.3	231050	12.1	
559.18206	6984223	21.3	238379	12.4	
559.19437	3035683	8.2	345455	3.3	
559.19725	8684068	27.0	249057	15.4	
559.21266	3885610	11.1	250384	6.6	
559.21836	4483628	13.0	216408	8.7	
559.23351	3998257	11.4	247609	5.8	
560.16451	3148675	8.6	282899	4.0	
560.20071	2882448	7.7	297588	3.4	
561.11897	2595038	6.8	220416	3.5	
561.14023	4957413	14.6	257358	8.4	
561.15546	6218987	18.8	243241	11.1	
561.16132	4633837	13.5	229758	7.7	
561.17338	2680049	7.1	246536	3.0	
561.17647	10220786	32.0	233978	19.5	
561.18259	2632949	6.9	152639	5.8	
561.18871	2675959	7.1	291184	3.1	
561.19179	5547256	16.6	241993	9.4	
561.19750	5960954	17.9	223624	12.2	
561.21291	6038784	18.2	254740	9.7	
561.22815	2638085	6.9	270922	3.3	
562.18008	3037790	8.3	252020	4.5	
563.11960	2572211	6.7	270332	3.3	
563.13473	5277624	15.7	246205	9.0	
563.15030	3414974	9.5	161464	7.4	
563.15587	8120256	25.1	246185	15.1	
563.16801	2654148	7.0	363396	2.7	
563.17112	7956421	24.5	224238	15.7	
563.17678	5603271	16.8	226754	10.4	
563.18930	3297228	9.1	344839	3.6	
563.19226	9725901	30.4	243470	18.0	
563.20740	6125522	18.5	215538	12.5	
563.22871	4001754	11.4	252754	6.0	
564.15964	2560299	6.7	277774	3.2	
564.17463	2711344	7.2	196959	4.8	
564.19597	2924856	7.9	264967	3.9	
565.11393	3334788	9.2	255526	4.8	
565.13500	3750540	10.6	213673	7.0	
565.14745	3594896	10.1	291191	4.4	
565.15036	7563921	23.2	243730	13.6	
565.15590	3472019	9.7	240546	6.1	
565.16548	3619479	10.2	158365	7.6	
565.17142	8805017	27.4	230121	16.5	
565.18368	2724509	7.2	347035	2.7	
565.18667	7400095	22.7	235352	14.0	
565.19257	3859105	11.0	237495	6.9	
565.20480	2980517	8.1	281448	3.5	
565.20774	9038502	28.1	251096	16.1	
565.22339	3496620	9.8	222354	6.0	
565.24400	2981555	8.1	248581	4.3	
566.15413	2608124	6.8	263823	3.3	
566.17494	3619844	10.2	244990	6.1	
567.12958	4099420	11.8	241782	6.9	
567.14484	3757410	10.6	199536	6.2	
567.15075	6126948	18.5	222468	12.5	
567.16604	7740778	23.8	232710	16.0	
567.17179	3284332	9.1	228960	5.7	
567.18399	2657648	7.0	352099	2.9	
567.18705	9735537	30.4	235662	18.6	
567.20221	6327671	19.1	245271	10.8	
567.20798	4029817	11.5	237424	6.5	
567.21746	2814332	7.5	192612	6.1	
567.22340	4765054	14.0	263964	7.3	
567.23865	2741636	7.3	218198	4.2	
568.16926	2770643	7.4	278666	3.5	
568.19066	3093211	8.4	201903	4.8	
569.12389	3151916	8.4	217535	4.9	
569.14539	5050420	14.6	245140	8.4	
569.16060	4085817	11.5	213023	7.9	
569.16647	7278651	21.8	230604	14.6	
569.18170	9142336	27.8	237717	17.6	
569.18747	4354115	12.3	259761	6.6	
569.19651	3062854	8.1	241014	4.9	
569.19964	2611271	6.7	383629	2.4	
569.20259	7389256	22.2	243268	13.8	
569.21786	4984910	14.4	253373	8.0	
570.17014	2814373	7.3	277664	3.9	
571.12439	3987196	11.1	208228	8.0	
571.13970	4236034	11.9	210953	9.0	
571.14556	3697412	10.2	215273	6.9	
571.16094	7455498	22.4	234972	14.3	
571.16624	3113739	8.3	305329	3.7	
571.17615	4946703	14.2	205652	9.4	
571.18202	8536849	25.9	240007	15.3	
571.19725	7750422	23.3	226823	15.2	
571.21266	2894620	7.6	211795	5.3	
571.21837	3963678	11.1	242602	6.2	
571.23352	3965731	11.1	249714	6.2	
573.11895	3258825	8.8	165198	7.1	
573.13997	3929553	11.0	256661	7.4	
573.15569	4513239	12.8	213530	8.5	
573.16139	5012953	14.5	247975	8.2	
573.17664	7189982	21.5	253377	12.3	
573.19177	4716004	13.5	241306	8.2	
573.19777	5670374	16.6	232813	10.3	
573.21275	7620075	22.9	242045	14.2	
574.15915	2602303	6.6	199398	4.4	
574.17996	2594631	6.6	300274	3.1	
574.18412	2898760	7.6	195669	5.7	
575.11937	3051672	8.1	243359	4.5	
575.15290	2701476	7.0	321270	3.1	
575.15587	6191269	18.3	240217	12.1	
575.17096	5685418	16.6	254743	9.9	
575.17688	5830828	17.1	223421	11.6	
575.18924	3774641	10.4	318353	4.7	
575.19223	7735474	23.3	254458	13.7	
575.20761	3500215	9.6	229417	6.3	
575.21338	3743929	10.3	231284	6.0	
575.22845	3653823	10.1	237528	6.1	
576.17432	2675218	6.9	238845	4.1	
576.19568	2937370	7.7	243322	4.9	
577.11146	2642786	6.8	262615	3.6	
577.13523	3521386	9.6	245509	5.4	
577.15049	4795248	13.8	251452	8.8	
577.15606	3375986	9.2	248727	5.1	
577.16497	2911093	7.6	219610	4.5	
577.16840	2851702	7.5	334984	3.3	
577.17146	8145784	24.6	230335	15.9	
577.18673	7003005	20.9	215493	14.8	
577.19274	3494783	9.5	289737	4.8	
577.20182	2615170	6.7	214929	4.7	
577.20771	7846789	23.6	234885	15.6	
577.22310	3178378	8.5	241900	4.9	
578.17525	2710751	7.0	236441	4.6	
578.19028	2980068	7.9	240191	4.6	
579.12968	3747380	10.4	221386	6.5	
579.15082	5766716	16.9	232086	10.7	
579.16296	3151424	8.4	296074	4.0	
579.16608	6499906	19.3	238168	11.9	
579.17198	3477059	9.5	226900	6.0	
579.18397	3202632	8.6	264456	3.9	
579.18710	9166409	27.9	233472	17.8	
579.20241	5799503	17.0	240704	11.6	
579.20811	3149392	8.4	242728	5.4	
579.22339	5092950	14.7	252796	8.6	
580.19070	3745712	10.3	243525	5.8	
581.14536	6217989	18.4	242391	11.3	
581.16319	2871563	7.5	331043	3.0	
581.16630	6889741	20.5	243343	12.7	
581.17868	3948817	11.0	320169	4.9	
581.18170	7618834	22.9	239848	16.0	
581.18744	3294484	8.9	227171	5.6	
581.19662	3370263	9.1	185168	5.8	
581.20278	8544537	25.9	228471	16.4	
581.21796	5239071	15.2	232797	10.3	
581.22391	3838241	10.6	221443	6.5	
581.23887	3290406	8.9	213435	5.9	
581.25435	2648364	6.8	248413	3.5	
582.18525	3289720	8.9	263541	4.7	
582.20623	2845312	7.4	207775	4.5	
583.14000	2728909	7.0	187803	4.8	
583.14568	3171279	8.5	235455	5.2	
583.15801	3935187	11.0	307530	4.9	
583.16102	6951892	20.7	255238	13.1	
583.16634	2716630	7.0	262238	3.8	
583.17598	3072986	8.2	189207	5.3	
583.18198	8541148	25.9	226865	18.4	
583.19728	8049633	24.3	236357	15.4	
583.20312	2711523	7.0	240281	4.1	
583.21268	2633703	6.7	216296	4.3	
583.21834	4529129	12.9	224796	8.2	
583.23373	3767278	10.4	261244	5.9	
584.16423	2698554	6.9	327202	3.0	
584.18547	2558274	6.5	164497	5.3	
584.20079	2739527	7.1	205526	4.9	
585.13999	3782294	10.5	237041	8.0	
585.15549	3821211	10.6	252023	6.7	
585.16129	4863645	14.0	213239	9.3	
585.17346	3995297	11.2	302985	5.5	
585.17665	8058531	24.3	237041	16.4	
585.19167	3825320	10.6	244543	6.3	
585.19762	7210666	21.6	238533	14.0	
585.20952	2979502	7.9	305715	3.4	
585.21290	7153328	21.4	232665	13.3	
585.23400	3450551	9.4	231768	5.6	
585.24916	3013308	8.0	250530	4.2	
586.18000	3291144	8.9	248002	5.1	
587.13487	3688795	10.2	177133	7.7	
587.15599	6541667	19.4	213362	14.1	
587.17114	5550441	16.2	228704	10.4	
587.17697	6629739	19.7	217266	14.4	
587.18926	4311407	12.2	347900	5.0	
587.19225	8747376	26.5	245849	17.6	
587.20754	3932533	10.9	227915	7.1	
587.21339	5263736	15.3	234776	9.8	
587.22856	5319037	15.4	220792	10.1	
588.19554	2873044	7.5	262135	4.2	
589.13508	4437026	12.6	212326	8.7	
589.14764	2769959	7.2	372374	2.7	
589.15060	5012520	14.4	237113	9.6	
589.15643	2561066	6.5	255169	3.8	
589.16844	3050542	8.1	338049	3.7	
589.17153	8539183	25.9	237357	16.2	
589.18674	6618165	19.6	231640	14.8	
589.19259	6667319	19.8	226739	13.6	
589.20466	3036219	8.0	278857	4.4	
589.20780	8305724	25.1	243381	15.2	
589.22322	2957377	7.8	233479	5.2	
589.24414	3746889	10.3	248635	6.1	
590.18960	2638233	6.7	239501	4.3	
590.19628	2596251	6.6	290235	3.1	
590.21099	2928032	7.7	269628	4.1	
591.12966	3284710	8.8	276091	4.6	
591.14768	2703084	7.0	300675	3.7	
591.15070	4292333	12.1	276197	6.4	
591.16304	3194610	8.5	328141	3.6	
591.16606	7405299	22.2	216352	14.9	
591.17194	4841205	13.9	244541	8.5	
591.18333	3297529	8.9	131035	9.6	
591.18706	10002170	30.6	226172	20.5	
591.20234	6672128	19.8	237711	13.2	
591.20815	5648130	16.5	209220	12.3	
591.22353	6356743	18.8	235731	11.7	
592.19042	2975838	7.8	263861	4.4	
593.14518	5687728	16.6	226912	11.7	
593.15126	2893234	7.6	226659	4.6	
593.16004	2875829	7.5	195198	4.9	
593.16354	3260854	8.8	300848	4.3	
593.16657	5616056	16.4	257012	10.0	
593.17846	3393980	9.2	324000	3.9	
593.18157	7451069	22.3	232248	15.9	
593.18756	4153791	11.7	236275	7.7	
593.19933	3267011	8.8	218443	4.5	
593.20267	9355716	28.5	233237	18.8	
593.21479	2918857	7.7	274125	4.2	
593.21801	5206474	15.1	244499	9.7	
593.23919	3040721	8.0	248465	4.7	
594.18527	2838304	7.4	247175	4.1	
594.20614	2743079	7.1	299177	3.3	
595.14584	2563188	6.5	271903	3.4	
595.15789	3732600	10.3	305365	4.2	
595.16099	7087225	21.2	238350	13.4	
595.16681	2569339	6.5	176547	5.8	
595.17884	3640447	10.0	294911	4.5	
595.18209	8610944	26.1	240173	16.7	
595.19412	3550341	9.7	332499	4.1	
595.19727	7304326	21.9	231397	15.3	
595.20324	4263048	12.0	220718	8.1	
595.21843	7251086	21.7	224427	15.0	
595.23366	4654227	13.3	229073	8.3	
596.16440	2649564	6.8	262383	3.5	
596.18555	3102179	8.2	242388	5.4	
596.20082	3546600	9.7	236547	6.1	
596.22145	2940400	7.7	251886	4.2	
597.11907	3081005	8.2	177722	5.7	
597.14032	3995444	11.1	249897	6.7	
597.15605	3371322	9.1	145203	8.7	
597.16157	4855612	13.9	234857	9.0	
597.17351	2637632	6.7	372512	2.6	
597.17665	8300353	25.1	223130	18.4	
597.18266	3661635	10.1	261608	5.8	
597.19193	4100935	11.5	191739	9.4	
597.19762	7497545	22.5	218846	16.3	
597.20966	2758477	7.1	328054	3.3	
597.21280	6412110	19.0	252399	11.5	
597.23388	4648789	13.3	217305	9.0	
597.24890	2700123	6.9	223472	4.7	
599.11961	2728430	7.0	239029	4.4	
599.13160	3014131	8.0	233055	4.9	
599.13483	3402228	9.2	224572	6.3	
599.15262	3135994	8.3	318392	3.7	
599.15583	5540347	16.1	241650	10.7	
599.17094	3959297	11.0	197606	7.2	
599.17702	6064643	17.8	242765	11.3	
599.18879	3721735	10.2	289438	5.2	
599.19212	9308680	28.4	227244	20.0	
599.20736	3891725	10.8	237761	7.3	
599.21326	6476304	19.2	212085	14.8	
599.22850	5667349	16.6	243708	10.1	
599.24921	2643484	6.8	206924	4.3	
601.13517	3759284	10.4	211954	7.6	
601.15057	4250810	12.0	214162	8.9	
601.15639	3130556	8.3	222200	5.6	
601.16828	2897088	7.6	321407	3.6	
601.17143	7847105	23.6	239519	17.0	
601.17973	3448004	9.4	238867	6.0	
601.18364	2751686	7.1	285234	3.6	
601.18694	4254919	12.0	185658	7.8	
601.19265	6261961	18.5	234552	12.2	
601.20465	2761933	7.1	290166	3.1	
601.20784	7396558	22.2	229324	14.9	
601.22307	3777747	10.4	222757	7.4	
601.22893	3527893	9.6	213988	6.8	
601.24422	2976987	7.8	258873	4.1	
603.12987	2824050	7.2	245315	4.6	
603.14731	3195768	8.3	215154	6.5	
603.15082	4941690	13.9	242079	9.4	
603.16612	5803903	16.6	221951	11.8	
603.17176	3234689	8.5	171993	6.2	
603.18411	3989381	10.8	309182	5.6	
603.18728	7356294	21.5	241874	14.6	
603.20216	5402508	15.3	223996	11.9	
603.20838	5588878	15.9	237870	11.3	
603.22352	6492051	18.8	222943	13.3	
605.14225	3045941	7.9	328385	3.7	
605.14538	4100662	11.2	265582	6.9	
605.16660	5788222	16.5	247569	10.2	
605.17853	3023426	7.8	312153	3.7	
605.18170	5048899	14.2	235751	10.2	
605.18773	3945029	10.7	228047	7.8	
605.19950	2910793	7.4	314625	3.8	
605.20277	8606282	25.4	244051	16.5	
605.21787	4827728	13.5	219038	9.2	
605.22407	4170322	11.4	233524	7.8	
605.23901	3291735	8.6	245407	5.0	
606.17380	2622367	6.5	191746	5.0	
607.14609	4025588	11.0	221500	7.7	
607.16083	6620409	19.2	236572	13.6	
607.16721	2786555	7.0	237261	4.4	
607.17603	2767102	7.0	191049	4.6	
607.18199	8455424	25.0	224168	17.4	
607.19737	6251782	18.0	204017	14.8	
607.20333	4259080	11.7	222728	8.2	
607.21832	7308557	21.3	239250	14.1	
607.23377	4076818	11.1	226439	8.0	
609.14032	3665838	9.8	237563	7.6	
609.16149	4495286	12.4	221284	9.6	
609.17653	7059387	20.5	213881	17.0	
609.18216	2736061	6.9	228724	4.6	
609.19148	2574272	6.4	173866	4.3	
609.19774	6330306	18.2	222813	13.5	
609.21285	6588360	19.1	225816	13.6	
609.23378	4900815	13.7	236530	9.0	
609.24926	2693076	6.7	211092	4.6	
610.20139	2836769	7.2	276398	4.3	
610.21629	3073319	7.9	222976	5.6	
611.13479	2589288	6.4	282235	3.5	
611.15271	2785902	7.0	325978	3.4	
611.15594	4917871	13.8	249133	8.3	
611.17144	4414069	12.2	159309	11.4	
611.17691	6568567	19.0	225354	15.7	
611.18885	3218043	8.4	311913	4.7	
611.19225	6937212	20.2	225814	14.6	
611.19834	3621502	9.7	194856	7.2	
611.20728	4313729	11.9	172700	8.5	
611.21321	7518851	22.0	236211	14.9	
611.22851	4907657	13.7	244891	8.7	
613.13507	3470626	9.2	213699	7.0	
613.15069	2684200	6.7	168221	5.8	
613.15639	2985258	7.7	287831	4.3	
613.16820	3384622	8.9	279531	5.3	
613.17163	6630703	19.2	238462	12.5	
613.18659	3297588	8.6	187514	5.8	
613.19266	5549367	15.8	229684	10.8	
613.20780	6475068	18.7	219810	13.8	
613.22298	2805057	7.1	203568	5.6	
613.22881	4402499	12.1	234519	8.1	
613.24423	3066184	7.9	235375	4.8	
615.15110	3010529	7.7	239254	5.2	
615.16617	4091879	11.2	247453	7.2	
615.17197	4470761	12.4	215798	9.2	
615.18367	3876845	10.5	254440	6.5	
615.18715	6762478	19.6	236969	13.5	
615.20279	4207604	11.5	189410	9.2	
615.20807	5906421	16.9	219838	13.0	
615.22321	5144571	14.5	254786	8.8	
615.23890	3342336	8.8	232767	6.0	
617.14539	3719832	10.0	236475	6.6	
617.16320	3621534	9.7	262385	6.0	
617.16663	5563040	15.8	232452	11.1	
617.17857	3533476	9.4	294907	4.8	
617.18205	4018853	10.9	188012	9.0	
617.18762	4498087	12.4	189469	9.9	
617.20279	7430828	21.7	206258	16.9	
617.21837	4154033	11.4	191815	9.2	
617.22438	3011252	7.7	224922	5.4	
617.23908	4176569	11.4	226860	8.1	
619.15789	3521876	9.3	282381	4.7	
619.16106	4455765	12.3	242025	8.5	
619.18214	6612317	19.1	226444	13.8	
619.19392	3466592	9.2	301587	4.7	
619.19733	5811554	16.6	224795	11.7	
619.20324	3980644	10.8	211476	8.2	
619.21463	3381608	8.9	188121	7.4	
619.21844	6776169	19.6	226209	14.4	
619.23354	3244398	8.5	189238	7.1	
619.25466	3016054	7.7	224474	5.4	
621.14006	3547141	9.4	252944	5.7	
621.16177	3356684	8.8	244781	5.9	
621.17341	3155984	8.2	313543	4.1	
621.17681	5986321	17.1	211854	13.1	
621.18306	2872339	7.3	176411	5.3	
621.19761	7378969	21.5	201696	18.8	
621.21298	5500958	15.6	229632	12.1	
621.23388	5111845	14.4	226563	10.1	
621.24915	2581546	6.4	243612	4.0	
622.20103	2576757	6.4	238592	4.3	
623.15228	2871998	7.3	231369	5.0	
623.15595	3132096	8.1	258187	5.0	
623.17099	2819781	7.1	155264	6.7	
623.17690	5612231	16.0	211933	13.0	
623.18883	2781899	7.0	322494	3.4	
623.19241	6970060	20.3	210743	15.3	
623.21336	6236884	17.9	224112	13.4	
623.22859	4477657	12.4	245560	7.8	
625.15074	3665267	9.8	195337	8.3	
625.16819	3155321	8.2	326371	3.7	
625.17166	6733178	19.5	216846	15.6	
625.18723	3166591	8.2	159993	7.6	
625.19267	5393793	15.3	228516	10.7	
625.20441	3132805	8.1	282516	4.6	
625.20802	6593927	19.1	230129	14.8	
625.22910	4140430	11.3	225369	8.1	
625.24442	3308947	8.7	222958	5.8	
627.15071	3754022	10.1	233613	7.3	
627.16615	3823660	10.3	221614	7.7	
627.17216	3166254	8.2	193191	6.7	
627.18363	4120626	11.2	278001	6.6	
627.18723	7430195	21.7	226390	15.6	
627.20341	3594809	9.6	155906	9.6	
627.20839	6537275	18.9	200534	14.7	
627.22349	5707840	16.3	213148	12.3	
627.24428	3166279	8.2	241461	5.6	
627.25995	2805836	7.1	238751	4.4	
628.21094	2655637	6.6	177233	5.5	
629.14545	3373783	8.9	246832	6.1	
629.16658	5452511	15.4	187889	14.1	
629.18210	3977956	10.8	195379	8.6	
629.18769	4262630	11.7	198211	9.3	
629.19909	4094698	11.1	233972	7.5	
629.20278	6480619	18.7	236750	14.0	
629.21953	3412721	9.0	176814	7.8	
629.22407	5397235	15.3	227229	11.3	
629.23920	4840184	13.5	208191	10.5	
630.19204	2687041	6.7	190965	5.3	
630.20626	2588742	6.4	208237	5.1	
631.15392	2673036	6.7	194762	5.4	
631.16136	4517263	12.5	217685	9.3	
631.16674	3127697	8.1	213498	6.6	
631.17821	3030421	7.8	200047	5.6	
631.18233	7697814	22.5	185794	20.0	
631.19742	5512604	15.6	191340	13.1	
631.20331	5598622	15.9	196948	12.9	
631.21833	7116195	20.7	212697	16.0	
631.23372	3840424	10.3	191256	8.9	
631.25452	3147183	8.2	242856	5.2	
632.18584	2926320	7.5	219567	5.7	
633.14043	2639929	6.5	259291	4.4	
633.16176	4579392	12.7	223337	8.9	
633.17330	3074116	7.9	326112	3.9	
633.17682	4479045	12.4	168472	11.4	
633.18293	4393032	12.1	219720	9.3	
633.19778	6037581	17.3	210367	14.0	
633.20913	2705488	6.8	291732	4.0	
633.21304	5777490	16.5	199419	13.3	
633.21860	3252308	8.5	141862	7.7	
633.23426	5746777	16.4	215320	12.4	
633.24951	3715166	9.9	210745	7.3	
634.20104	2843046	7.2	228652	5.3	
635.15245	2702061	6.7	314977	3.5	
635.15612	5683950	16.2	218954	11.9	
635.17317	3169012	8.2	145866	8.5	
635.17739	4975350	13.9	226179	10.1	
635.18873	3287802	8.6	327952	4.2	
635.19233	6978299	20.3	210236	15.9	
635.19851	3823357	10.3	186378	8.8	
635.20956	3482369	9.2	262038	5.8	
635.21334	6384386	18.4	217119	13.7	
635.22875	4766471	13.3	215129	9.8	
635.23473	2604809	6.4	165375	6.0	
635.25001	3071759	7.9	207295	6.6	
637.15063	2627996	6.5	211338	5.1	
637.16804	3147170	8.1	285524	4.6	
637.17181	6225315	17.9	220713	12.9	
637.18832	3020201	7.7	191526	6.1	
637.19256	5879210	16.8	216394	12.8	
637.20437	3173806	8.2	270355	5.1	
637.20807	5655984	16.1	221453	12.3	
637.22917	4267447	11.7	197177	9.8	
637.24420	4509116	12.5	219266	8.9	
639.15112	3829834	10.3	221887	7.6	
639.16648	3506255	9.3	153628	9.7	
639.17235	3600465	9.6	223230	7.1	
639.18386	3190869	8.3	323066	4.1	
639.18742	6762583	19.6	218877	14.8	
639.19371	2702425	6.7	194661	5.8	
639.20319	4144732	11.3	159420	11.1	
639.20836	5406814	15.3	216139	13.4	
639.21998	2951266	7.5	266818	4.6	
639.22375	5560419	15.8	223486	11.9	
639.24424	4120682	11.2	217124	8.5	
640.21090	2628021	6.4	202607	5.2	
640.26316	2625991	6.4	165621	6.9	
641.14577	2957046	7.5	225615	5.6	
641.16304	2665212	6.5	254194	4.2	
641.16675	4543229	12.4	238881	8.3	
641.18220	4267778	11.6	177941	10.3	
641.18776	4715268	13.0	223573	9.6	
641.19892	2829064	7.1	282402	4.5	
641.20282	7316233	21.1	208776	16.8	
641.21411	2966285	7.5	282240	4.2	
641.21807	3393294	8.8	155928	8.8	
641.22408	3296017	8.5	229904	6.3	
641.23912	5258006	14.7	208836	11.0	
641.25452	2745115	6.8	164276	7.0	
643.16114	3888552	10.4	193800	8.6	
643.16745	4218282	11.4	181536	10.9	
643.18236	5758383	16.2	200029	13.6	
643.19780	4642228	12.7	205646	10.1	
643.20315	5791158	16.3	187682	14.8	
643.21466	3532218	9.3	248498	5.8	
643.21849	6563259	18.8	215070	14.5	
643.23361	3486144	9.1	209297	7.1	
643.23927	3374530	8.8	183875	7.8	
645.16181	3336275	8.6	204972	7.2	
645.17687	5339225	14.9	201788	12.2	
645.18286	3356763	8.7	216739	6.5	
645.19397	3283038	8.5	266730	5.5	
645.19778	7329888	21.1	226329	15.5	
645.21306	5275749	14.7	208395	11.6	
645.21886	4311143	11.7	193944	10.4	
645.22984	3164267	8.1	180473	6.2	
645.23411	5451884	15.3	209699	12.2	
645.24958	2975857	7.5	175049	7.0	
647.15187	2735867	6.8	175131	5.0	
647.15596	4078332	11.0	228610	7.9	
647.17713	4961027	13.7	210538	11.9	
647.19248	5821193	16.4	215915	12.9	
647.19835	3646219	9.6	141666	10.2	
647.20937	3072782	7.8	248286	5.2	
647.21330	5217040	14.5	235336	10.2	
647.22876	4727573	13.0	207946	10.4	
647.24978	2913052	7.3	215959	5.2	
649.17169	4847019	13.4	214956	10.6	
649.18842	2990513	7.6	175233	7.0	
649.19298	5625267	15.8	203865	12.9	
649.20808	5875128	16.6	193627	14.4	
649.21408	3149242	8.1	235361	5.6	
649.22493	3573181	9.4	204323	7.5	
649.22909	5158335	14.3	210935	11.2	
649.24421	3822020	10.2	188418	9.6	
651.14729	2861132	7.1	249689	4.7	
651.15123	3438669	9.0	250419	5.6	
651.16757	3140179	8.0	161125	7.9	
651.17251	2887765	7.2	225992	5.7	
651.18716	5466202	15.3	195356	13.1	
651.20320	2922335	7.3	154909	7.7	
651.20839	5075041	14.1	227997	9.8	
651.22338	5328998	14.9	211250	11.5	
651.24460	4032621	10.8	209701	8.5	
653.16649	4707067	12.9	204553	10.3	
653.18226	3621632	9.5	188360	8.2	
653.18764	4115202	11.1	216592	8.5	
653.19919	2687750	6.6	336653	3.2	
653.20291	6734599	19.3	218875	14.7	
653.21920	3100428	7.9	199618	6.4	
653.22392	4381454	11.9	211105	9.5	
653.23919	4215571	11.4	198177	9.6	
