m/z	I	S/N	Res.	I %	
536.16877	6804659	21.5	247391	0.5	
536.18999	3790012	11.2	249480	0.3	
536.20078	3677376	10.8	252990	0.3	
537.06747	26994202	90.8	228556	2.0	
537.10384	9352744	30.3	236887	0.7	
537.12509	4365873	13.2	276885	0.3	
537.14019	13276727	43.7	219650	1.0	
537.16145	6614591	20.9	215542	0.5	
537.17660	30598726	103.2	227019	2.3	
537.19759	3746382	11.0	236867	0.3	
537.21301	6360660	20.0	244591	0.5	
538.07078	7430057	23.7	218993	0.6	
538.11167	4939705	15.1	228720	0.4	
538.13277	15779777	52.3	226982	1.2	
538.14352	3936198	11.7	171056	0.3	
538.14805	13191111	43.4	230185	1.0	
538.16921	2880464	8.1	245483	0.2	
538.17993	9611220	31.2	227753	0.7	
538.18446	6000598	18.8	218207	0.5	
539.11954	7033160	22.3	222545	0.5	
539.13653	3648847	10.7	216669	0.3	
539.14069	14661968	48.5	221689	1.1	
539.15083	3574100	10.4	239723	0.3	
539.15590	23431510	78.6	229003	1.8	
539.17712	3259743	9.4	240245	0.2	
539.19225	15640933	51.9	228609	1.2	
540.09083	3527367	10.2	245133	0.3	
540.12734	5270230	16.1	228984	0.4	
540.14405	3833564	11.2	243750	0.3	
540.15909	6965986	21.8	231337	0.5	
540.16366	8321764	26.4	224636	0.6	
540.19574	5245681	16.0	184778	0.4	
540.20013	2934514	8.1	252647	0.2	
541.09885	4514900	13.5	213819	0.3	
541.13513	9231458	29.5	225406	0.7	
541.15017	2630760	7.1	254336	0.2	
541.17155	30862448	102.9	225249	2.3	
541.20794	8367230	26.6	218132	0.6	
542.10677	5182942	15.8	243824	0.4	
542.13862	3059178	8.6	205783	0.2	
542.14291	6690284	20.9	224958	0.5	
542.17488	8433144	26.8	215468	0.6	
542.17937	5850619	18.0	209836	0.4	
542.21150	2692615	7.3	263747	0.2	
543.05605	4634448	13.9	216532	0.4	
543.07797	2693977	7.3	246617	0.2	
543.11451	7092071	22.2	226927	0.5	
543.12971	3219309	9.1	261940	0.2	
543.15078	11706229	37.9	226415	0.9	
543.16603	6047611	18.7	249562	0.5	
543.18714	14278531	46.6	220061	1.1	
543.22350	4133777	12.2	227083	0.3	
543.29647	5136302	15.6	241767	0.4	
544.08603	3327200	9.5	228767	0.3	
544.12229	4794606	14.4	242616	0.4	
544.13758	2774260	7.6	229385	0.2	
544.15408	3470586	10.0	227991	0.3	
544.15855	5824764	17.9	215974	0.4	
544.16943	3106560	8.7	190256	0.2	
544.19051	4833545	14.6	226565	0.4	
545.09395	3354214	9.6	233842	0.3	
545.13005	5362292	16.4	238311	0.4	
545.14531	5786234	17.8	228958	0.4	
