m/z	I	S/N	Res.	I %	
493.18676	11478370	36.4	250757	8.6	
493.20195	6116713	18.6	277301	4.6	
493.20824	2539883	6.7	261439	1.9	
493.22330	2844018	7.7	273552	2.1	
494.13689	3661546	10.4	246715	2.7	
494.15395	4151025	12.0	283153	3.1	
494.15806	3100403	8.5	298075	2.3	
494.16916	2989816	8.2	328852	2.2	
494.17317	3471097	9.8	329618	2.6	
494.19010	3809024	10.9	263434	2.9	
495.10854	6260859	19.1	201440	4.7	
495.12401	4421761	12.9	208886	3.3	
495.12985	7039107	21.6	265170	5.3	
495.13668	2887814	7.8	268168	2.2	
495.14031	2631816	7.0	330481	2.0	
495.14496	9832585	30.9	239381	7.4	
495.15089	6641804	20.3	254231	5.0	
495.16007	3982480	11.5	189052	3.0	
495.16609	14248082	45.6	237882	10.7	
495.18131	8784024	27.4	245673	6.6	
495.18718	3921051	11.3	239497	2.9	
495.20249	6797473	20.8	279299	5.1	
495.21761	4339880	12.7	271320	3.3	
496.13146	2970144	8.1	330596	2.2	
496.14839	2807335	7.6	320542	2.1	
496.15266	3335720	9.3	282492	2.5	
496.16949	4006447	11.6	309651	3.0	
496.18478	3115573	8.6	260687	2.3	
497.09663	2556844	6.7	242908	1.9	
497.10917	3064753	8.4	189249	2.3	
497.12420	7642040	23.6	221760	5.7	
497.13016	4387770	12.8	262283	3.3	
497.13939	5835710	17.6	202911	4.4	
497.14536	9948096	31.3	252850	7.5	
497.15182	2939843	8.0	171076	2.2	
497.15728	2878405	7.8	344624	2.2	
497.16058	11828167	37.6	246350	8.9	
497.16411	2874312	7.8	322084	2.2	
497.16661	5262281	15.7	236487	4.0	
497.17588	5321677	15.9	237793	4.0	
497.18162	11283407	35.8	243902	8.5	
497.19682	6482902	19.8	251777	4.9	
497.21805	4129758	12.0	289257	3.1	
498.11062	2619725	6.9	280914	2.0	
498.14893	2587997	6.8	359096	1.9	
498.16428	3171683	8.8	308339	2.4	
498.16820	3269988	9.1	326748	2.5	
498.17055	2642277	7.0	289160	2.0	
498.18527	3048811	8.4	254173	2.3	
499.10082	3540707	10.0	192398	2.7	
499.11218	3090152	8.5	215469	2.3	
499.11859	5083883	15.1	190929	3.8	
499.12461	4994797	14.8	246128	3.7	
499.13167	2928368	8.0	359539	2.2	
499.13692	3935986	11.3	265598	3.0	
499.13994	10333939	32.6	246188	7.8	
499.14593	3885814	11.2	241566	2.9	
499.15507	5527290	16.6	219698	4.1	
499.16095	11902716	37.8	247377	8.9	
499.16760	3059454	8.4	180058	2.3	
499.17619	11181826	35.4	259975	8.4	
499.18235	3112709	8.6	208539	2.3	
499.19160	3831048	11.0	193585	2.9	
499.19723	6852363	21.0	213993	5.1	
499.21253	5678865	17.1	277609	4.3	
500.14346	2695310	7.2	316830	2.0	
500.14735	2996368	8.2	257806	2.2	
500.16458	3022999	8.3	344127	2.3	
500.17957	3594397	10.2	288005	2.7	
501.09518	3115540	8.6	213100	2.3	
501.09809	3659285	10.4	245136	2.7	
501.11917	5665310	17.1	198210	4.3	
501.12605	2542113	6.7	246143	1.9	
501.13447	6218276	18.9	234296	4.7	
