m/z	I	S/N	Res.	A %	I %	
352.03916	5582455	22.0	363410	0.7	0.9	
352.07553	5830271	23.1	396690	0.7	1.0	
352.99389	2629443	9.3	390004	0.3	0.4	
353.01502	4753224	18.4	370697	0.7	0.8	
353.05143	81624912	348.7	362083	12.0	13.7	
353.05257	7290704	29.3	682629	0.7	1.2	
353.07256	13012820	53.9	355124	1.9	2.2	
353.08782	28860248	122.0	365062	4.4	4.8	
353.10892	8195932	33.2	384555	1.1	1.4	
353.12418	8994655	36.7	391522	1.2	1.5	
353.19560	3225454	11.9	525138	0.3	0.5	
353.20034	75202416	321.1	360476	11.1	12.6	
353.20147	6446959	25.7	488342	0.7	1.1	
354.05477	12320804	51.0	370060	1.7	2.1	
354.09121	4342828	16.7	377132	0.6	0.7	
354.20369	13201476	54.7	368959	1.9	2.2	
355.03069	10055922	40.8	356994	1.4	1.7	
355.04596	3237109	11.8	379309	0.4	0.5	
355.04782	2877174	10.3	293351	0.4	0.5	
355.04934	4794614	18.4	373378	0.7	0.8	
355.06704	12431610	50.9	355802	1.9	2.1	
355.08240	6766845	26.8	372168	0.9	1.1	
355.08819	23232766	96.8	363097	3.4	3.9	
355.08935	2740478	9.7	601118	0.2	0.5	
355.10345	10318081	41.9	376137	1.5	1.7	
355.11879	5355781	20.8	387683	0.7	0.9	
355.13986	4011273	15.1	370051	0.5	0.7	
355.19607	2689301	9.5	340697	0.3	0.5	
355.24900	5347616	20.8	404831	0.7	0.9	
356.09155	2622929	9.2	371266	0.3	0.4	
356.98886	3393164	12.5	370411	0.4	0.6	
357.02524	5720724	22.4	390796	0.7	1.0	
357.04631	3943064	14.8	368578	0.5	0.7	
357.06159	6245019	24.6	377556	0.8	1.0	
357.06500	4334236	16.5	343390	0.6	0.7	
357.08271	7948960	31.8	361754	1.2	1.3	
357.09800	9654946	39.1	373316	1.3	1.6	
357.10388	7092900	28.2	345364	1.1	1.2	
357.11911	8358567	33.6	368779	1.2	1.4	
357.13437	2987690	10.7	381359	0.3	0.5	
357.19197	2778806	9.9	435273	0.3	0.5	
357.26467	10252997	41.6	367211	1.5	1.7	
359.00448	7515182	30.0	354375	1.1	1.3	
359.02161	5723185	22.4	375547	0.8	1.0	
359.04086	8791093	35.4	372465	1.2	1.5	
359.04421	2502710	8.7	401973	0.2	0.4	
359.06201	3939385	14.8	384844	0.5	0.7	
359.07727	13374525	54.9	357769	2.1	2.2	
359.09837	9937985	40.3	368976	1.4	1.7	
359.11360	9364548	37.9	365606	1.3	1.6	
359.11948	3346501	12.3	335881	0.5	0.6	
359.15010	4443212	16.9	392611	0.5	0.7	
360.08066	2803467	10.0	326043	0.4	0.5	
361.02012	6884812	27.3	378143	0.9	1.2	
361.04455	4225489	16.0	380609	0.5	0.7	
361.05651	18712018	77.6	348482	3.0	3.1	
361.05980	3693012	13.7	355833	0.5	0.6	
361.07772	5047768	19.5	389057	0.6	0.8	
361.09175	3016154	10.9	613709	0.2	0.5	
361.09291	25454042	106.3	358335	3.9	4.3	
361.09630	2519515	8.8	385744	0.3	0.4	
361.11399	2573791	9.0	439381	0.3	0.4	
361.12931	5830114	22.8	378728	0.8	1.0	
362.05985	3445408	12.7	362163	0.5	0.6	
362.07764	2723492	9.6	375596	0.3	0.5	
362.09628	4841128	18.6	382313	0.7	0.8	
362.99933	3321695	12.2	396561	0.4	0.6	
363.03578	17868646	74.0	362822	2.9	3.0	
363.07216	31188846	130.7	346367	5.3	5.2	
363.07390	8309614	33.4	261553	1.4	1.4	
363.07559	10336111	42.0	327170	1.7	1.7	
363.10692	8746869	35.2	347149	1.3	1.5	
363.10849	22546294	93.9	311642	4.0	3.8	
363.11192	192808816	817.9	351001	30.1	32.4	
363.11705	5799799	22.7	404067	0.8	1.0	
363.14494	2676605	9.4	402597	0.3	0.4	
364.03921	2624562	9.2	364220	0.3	0.4	
364.07551	5797946	22.7	350503	0.9	1.0	
364.11201	3781697	14.1	354475	0.6	0.6	
364.11408	3283009	12.0	727236	0.2	0.6	
364.11527	31451202	131.8	356331	4.8	5.3	
364.11648	3098690	11.2	743753	0.2	0.5	
365.00382	3562741	13.2	364242	0.5	0.6	
365.01501	3336439	12.2	408438	0.4	0.6	
365.05143	29894910	125.2	346079	5.1	5.0	
365.08781	24373510	101.7	344832	4.1	4.1	
365.08975	4288775	16.3	267295	0.8	0.7	
365.10236	4074761	15.4	345083	0.6	0.7	
365.10774	7295242	29.1	317685	1.3	1.2	
365.11615	2826508	10.1	394681	0.3	0.5	
365.12420	13404429	55.0	357520	2.1	2.3	
365.16400	6904086	27.4	349729	1.1	1.2	
366.05472	5272009	20.5	362151	0.8	0.9	
366.09112	5016017	19.4	378808	0.7	0.8	
366.12755	3023320	10.9	417269	0.4	0.5	
367.03068	10201741	41.0	354445	1.6	1.7	
367.04930	7787153	30.8	327609	1.3	1.3	
367.05179	7862930	31.1	344783	1.2	1.3	
367.06706	39045780	162.3	340343	6.7	6.6	
367.08163	4301464	16.1	443295	0.5	0.7	
367.08823	4785817	18.2	343924	0.7	0.8	
367.10347	18434716	75.6	350471	3.0	3.1	
367.10561	2666652	9.3	305258	0.4	0.4	
367.11872	3478175	12.7	309577	0.5	0.6	
367.12460	13359776	54.2	358133	2.1	2.2	
367.13988	4815523	18.3	363715	0.7	0.8	
368.07040	6400862	25.0	377981	0.9	1.1	
368.10687	3204965	11.5	399015	0.4	0.5	
368.98881	3472406	12.7	363865	0.5	0.6	
369.04635	18140194	74.4	343658	2.9	3.0	
369.06164	2906149	10.3	350183	0.4	0.5	
369.06500	4771878	18.1	321147	0.8	0.8	
369.06746	14216230	57.8	350731	2.3	2.4	
369.08273	16780328	68.6	350749	2.7	2.8	
369.09805	4897836	18.7	346348	0.7	0.8	
369.10388	10042413	40.3	356681	1.6	1.7	
369.11911	11340848	45.8	352321	1.8	1.9	
369.14021	2848820	10.0	421066	0.3	0.5	
370.08608	2711794	9.5	406323	0.3	0.5	
371.00447	27471274	113.6	337243	4.8	4.6	
